Business	Category	SubCategory	AKA	Contact	Address	City	ST	ZIP	Phone	FAX	License	Ethnicity	Email
"TEMPER INSULATION CO., INC."	ACOUSTICAL & INSULATION (C-2)      		                                   	Thomas L. Chun	1213 Folsom Street            	San Francisco                 	CA	94103	(415) 255-7677	(415) 255-6031	475279	A/P	temper.tom@sbcglobal.net
MEI WU ACOUSTICS	ACOUSTICAL CONSULTANTS             			Mei  Wu	3 Twin Dolphin Drive Suite 190	Redwood City	CA	94065-1516	(650) 592-1675	(650) 592-1675	0	A/P	meiwu@mei-wu.com
SHOR ACOUSTICAL CONSULTANTS        	ACOUSTICAL CONSULTANTS             			Harjodh  Gill	6139 Ridgemont Drive          	Oakland                       	CA	94619	(510) 531-0402	(510) 531-0402	0	EIN	shornoise@aol.com
"A+D, ARCHITECTURE + DESIGN"	ARCHITECTURAL HISTORIAN            		"ARQUITECTURA & DISENO, INC."	Sandra I. Vivanco	566 Folsom Street	San Francisco                 	CA	94105	(415) 536-9323	(415) 536-9325	C27980         	LAT	sandra@a-plus-d.com
"KAHN & ASSOCIATES, KAY"	ARCHITECTURAL ILLUSTRATORS         		KAHN KAY & ASSOCIATES	Kangsik  Kay	460 Boulevard Way             	Oakland                       	CA	94610	(510) 653-0674	(510) 653-2727	0	A/P	kahnkay@yahoo.com
LAWRENCE KO LEONG	ARCHITECTURAL ILLUSTRATORS         		                                   	Lawrence Ko Leong	800 - 27th  Avenue	San Francisco                 	CA	94121	(415) 387-6528	(415) 480-2022	C 10652        	A/P	lkldraw@pacbell.net
VERTICALARRAY	ARCHITECTURAL ILLUSTRATORS         			Alex C. Ho	512 Van Ness Avenue #405	San Francisco	CA	94102	(415) 235-5283	(415) 551-8145	0	A/P	hoack@verticalarray.com
"A+D, ARCHITECTURE + DESIGN"	ARCHITECTURAL SERVICES             		"ARQUITECTURA & DISENO, INC."	Sandra I. Vivanco	566 Folsom Street	San Francisco                 	CA	94105	(415) 536-9323	(415) 536-9325	C27980         	LAT	sandra@a-plus-d.com
"AE3 PARTNERS, INC."	ARCHITECTURAL SERVICES             			Douglas A. Davis	"11 Embarcadero West, Suite 205"	Oakland	CA	94607	(510) 538-9991	(510) 327-0312	C28047	BLK	dougd@ae3partners.com
ARCUS                              	ARCHITECTURAL SERVICES             		                                   	Samuel  Kwong	61 Walter U. Lum Place	San Francisco                 	CA	94108	(415) 391-3313	(415) 391-3649	C 14679        	A/P	
ASHTON RICHARDS ARCHITECT	ARCHITECTURAL SERVICES             			Ashton E. Richards	43 Barcelona Avenue	San Francisco	CA	94117	(415) 378-6252		C29653	BLK	ashton_rchrds@yahoo.com
BACH DESIGN	ARCHITECTURAL SERVICES             			Beverly  Choe-Harris	3752 - 20th Street	San Francisco	CA	94110	(415) 425-8582		0	A/P	bc@bachdesignsf.com
