GLCode	Description	
600000	BUDGET - SALARIES - ACADEMIC       	
601000	REGULAR ACADEMIC SALARIES          	
601091	1991-92 FACULTY MERITS & PROMOTIONS	
601180	IAP AWARD FUNDING                  	
601200	SL-IN RESIDENCE                    	
601300	SL-NOT IN RESIDENCE                	
601400	WAGES-AC-NO COMP INS               	
601610	TERM BENEFITS/VOLUNTARY-ACAD S&W   	
601620	TERM BENEFITS/INVOLUNTARY-ACAD S&W 	
601700	COMP EARNED NOT PAID PRE-DEATH     	
601800	ACCRUED VACATION                   	
601850	VACATION REIMBURSEMENT             	
601851	TERMINAL VACATION                  	
601900	ADJ TO SALARIES & WAGES-ACADEMIC   	
601940	SALARY ACCRUAL                     	
601950	ACCRUED VACATION                   	
601970	SR MANAGEMENT SEVERANCE PAY PLAN   	
601971	SMSPP-SEVERANCE PAY OFFSET-ACADEMIC	
608930	PROVISION FOR VACATION ACCRUAL     	
610000	BUDGET - SALARIES - STAFF          	
610001	BFS BUD6 SVGS-APP STIPENDS-BDG ONLY	
610002	BFS BUD6 SVGS-DRAW OFFS-BUDGET ONLY	
611000	STAFF SALARIES-PAYROLL DEFAULT     	
611100	REGULAR STAFF SALARIES             	
611111	SALARY INTEREST                    	
611112	SALARY INTEREST                    	
611150	IAP PAYMENT - PAYROLL DEFAULT      	
611180	IAP AWARD FUNDING                  	
611200	STAFF SABBATICAL LEAVE SALARIES    	
611500	WAGES-STAFF-NO COMP INS            	
611610	TERM BENEFITS/VOLUNTARY-STAFF S&W  	
611620	TERM BENEFIT/INVOLUNTARY-STAFF S&W 	
611700	COMP EARNED NOT PAID PRE-DEATH     	
611800	ACCRUED VACATION                   	
611850	VACATION REIMBURSEMENT             	
611851	TERMINAL VACATION                  	
611900	ADJ TO SALARIES & WAGES            	
611901	ACCRUED SAL/WAGE ADJUSTMENTS       	
611911	PREUSS-DISTRICT LIBRARIANS SAL REIM	
611911	PREUSS-DISTRICT TEACHERS SAL REIM  	
611911	PREUSS TEACHERS SALARIES(1100)     	
611912	PREUSS-DISTRICT ADMIN SAL REIMB    	
611912	PREUSS CERT PUPIL SUPP SAL(1200)   	
611913	PREUSS CERT LIB MED&TECH SAL(1200) 	
611914	PREUSS-DISTRICT LIBRARIANS SAL REIM	
611914	PREUSS CERT SPVR&ADMIN SAL (1300)  	
611915	PREUSS-DISTRICT GUIDANCE/WELF/ATT S	
611915	PREUSS OTHER CERT SALARIES (1900)  	
611916	PREUSS-DISTRICT PHYSI/MENTAL HEA SA	
611917	PREUSS NONCERT INSTR AID SAL(2100) 	
611918	PREUSS NONCERT SUPP SALARIES (2200)	
611919	PREUSS-DISTRICT/OTHER CRT SAL REIMB	
611919	PREUSS NONCERT LIB MED&TECH SAL2200	
611920	PREUSS NON-CERT SPVR&ADMIN SAL(2300	
611921	PREUSS-DISTRICT INSTRUCT ASST SALRY	
611921	PREUSS-DISTRICT INSTRUCT ASST SALRY	
611921	PREUSS NON-CERT CLRK&OFF SAL(2400) 	
611923	PREUSS-DISTRICT CIERICAL/OFC SAL/RI	
611923	PREUSS OTHER NON-CERT SAL(2900)    	
611929	PREUSS SALARIES OFFSET             	
611940	SALARY ACCRUAL                     	
611950	ACCRUED VACATION                   	
611960	COMPENSATORY TIME ACCRUAL          	
611970	SR MANAGEMENT SEVERANCE PAY PLAN   	
611971	SMSPP-SEVERANCE PAY OFFSET-STAFF   	
611980	GEN ACCTG Y/E CR ENTRY ONLY-SAL/WAG	
618930	PROVISION FOR VACATION ACCRUAL     	
620000	BUDGET - SALARIES - GEN'L ASSIST   	
620001	BFS BUD6 SVGS-APPRVD GA-BUDGET ONLY	
621000	GENERAL ASSISTANCE - ACADEMIC      	
621100	GENERAL ASSISTANCE - STAFF         	
621111	SALARY INTEREST                    	
621150	IAP PAYMENT                        	
621160	STAFF RECOGNITION & DEVELOPMENT    	
621180	IAP AWARD OFFSET                   	
621330	MPL LABOR CLEARING RECHARGE        	
621333	CTR ATMOSPHR SCI LBR CLRG-ADMIN/CLK	
621334	CTR FOR ATMOSPHER SCI LBR CLRG TECH	
621335	GRD LABOR CLEARING                 	
621337	MLRG LABOR CLEARING RCHG-ADMIN     	
621338	MRD LABOR CLEARING RECHARGE        	
621339	MLRG LABOR CLEARING RCHG-TECHNICAL 	
621340	CASS LABOR CLEARING RECHARGE       	
621341	CRD LABOR CLEARING - ADMIN/CLERICAL	
621342	CRD LABOR CLEARING RECHARGE        	
621342	CRD LABOR CLEARING - TECHNICAL     	
621343	PORD LABOR CLEARING- ADMIN/CLERICAL	
621344	PORD LABOR CLEARING - TECHNICAL    	
621345	CAL SPACE LABOR CLRG-ADMIN/CLERICAL	
621346	CAL SPACE LABOR CLEARING TECHNICAL 	
621348	CCS LABOR CLEARING RCHG-TECHNICAL  	
621349	CCS LABOR CLEARING RCHG - ADMIN    	
621350	MBRD LABOR CLEARING RCHG-TECHNICAL 	
621351	MBRD LABOR CLEARING RCHG - ADMIN   	
621352	CMBB LABOR CLEARING RCHG-TECHNICAL 	
621353	CMBB LABOR CLEARING RCHG - ADMIN   	
621354	IGPP LABOR CLEARING RECHARGE       	
621355	IGPP LABOR CLEARING RCHG-ADMIN     	
621356	IOD LABOR CLEARING RCHG-ADMIN      	
621357	IOD LABOR CLEARING RCHG-TECHNICAL  	
621362	ANESTHESIA LABOR CLEARING RECHG    	
621365	CER FUSION LABOR CLEARING RECHG    	
621366	MEDICINE LABOR CLEARING - TECHNICAL	
621367	MEDICINE LABOR CLEARING - CLINICAL 	
621368	MEDICINE LABOR CLEARING - RESEARCH 	
621400	WAGES-AC-NO COMP INS               	
621500	WAGES-STAFF-NO COMP INS            	
621600	HOSPITAL EMPLOYEES                 	
621610	TERM BENEFIT/VOLUNTARY             	
621620	TERM BENEFIT/INVOLUNTARY           	
621700	COMP EARNED NOT PAID PRE-DEATH     	
621800	ACCRUED VACATION                   	
621850	VACATION REIMBURSEMENT             	
621851	TERMINAL VACATION                  	
621900	ADJ TO SALARIES & WAGES            	
621901	ACCRUED SAL/WAGE ADJUSTMENTS       	
621912	PREUSS CERT PUPIL SUPP SAL (1200)  	
621913	PREUSS CERT LIB MEDIA&TECH SAL(1200	
621920	BIWEEKLY ACCRUAL ADJUSTMENT        	
621921	PREUSS NON-CERT CLRK&OFFC SAL(2400)	
621923	PREUSS OTHER NON-CERT SAL(2900)    	
621929	PREUSS SALARIES OFFSET             	
621929	PREUSS SALARIES OFFSET             	
621940	SALARY ACCRUAL                     	
621950	ACCRUED VACATION                   	
621960	COMPENSATORY TIME ACCRUAL          	
621970	SR MANAGEMENT SEVERANCE PAY PLAN   	
621971	SMSPP-SEVERANCE PAY OFFSET-GEN ASST	
628930	PROVISION FOR VACATION ACCRUAL     	
630000	BUDGET - SUPPLIES & EXPENSE        	
630001	BFS BUD6 SVGS-APP TEMP LAB-BDG ONLY	
630010	APS SUBSYS ONLY LABOR RSRC INTERNAL	
630011	APS SUBSYS ONLY LABOR RSRC EXTERNAL	
630020	APS SUBSYS ONLY INVNTRY RSC MECHANI	
630030	APS SUBSYS ONLY INVNTRY RSC ELECTRI	
630040	APS SUBSYS ONLY INVNTRY RSC STRCTRL	
630045	APS SUBSYS ONLY INVNTRY ISSU LANDSC	
630050	APS SUBSYS ONLY INVNTRY RSRC PLUMBI	
630055	APS SUBSYS ONLY INVNTRY ISSU FASTEN	
630060	APS SUBSYS ONLY TOOL RSRC INTERNAL 	
630061	APS SUBSYS ONLY TOOL RSRC EXTERNAL 	
630070	APS SUBSYS ONLY CONTRACT SVC RSRC  	
630080	APS SUBSYS ONLY OTHER&MISC RESOURCE	
632300	GARAGE CHARGES                     	
632301	GARAGE CHARGES REFUND              	
632305	SHUTTLE SERVICE RECHARGE           	
633000	TRANSPORTATION OF THINGS           	
633001	BKSTR FRT-NEW TEXTS                	
633002	BKSTR FRT-GENERAL BOOKS            	
633003	BKSTR FRT-MEDICAL BOOKS            	
633004	BKSTR FRT-SCHOOL/OFFICE SUP        	
633005	BKSTR FRT-CLOTHING/GIFTS           	
633006	BKSTR FRT-NON-TAX SUNDRIES         	
633007	BKSTR FRT-COMPUTER/ELEC            	
633010	BKSTR FRT-REMAINDER BOOKS          	
633011	BKSTR FRT-USED TEXTS               	
633012	BKSTR FRT-MAGAZINES                	
633013	BKSTR FRT-TECHNICAL BOOKS          	
633016	BKSTR FRT-TAXABLE SUNDRIES         	
633017	BKSTR FRT-MED SOFT GOODS           	
633018	BKSTR FRT-MED INSTRUMENTS          	
633019	BKSTR FRT-ANATOMICAL CHARTS        	
633080	TRANSPORTATION-SUPPLIES            	
633087	TRANSPORTATION-MISC RESALE ITEMS   	
633090	MED CTR AP FREIGHT CHARGES         	
633700	UNEX ADMINISTRATION EXP-INDIRECT CO	
633850	ELIMINATION OF NON-REPORTABLE EXP  	
634000	COMMUNICATION SERVICES             	
634002	MAIL/POSTAGE/MESSENGER SERVICES    	
634003	MAIL SVCS-POSTAGE/METERED MAIL     	
634004	COMMUNICATIONS SVCS-ESPS T1 LINES  	
634005	INTERNET CONNECTION SERVICES       	
634006	NGN COMMUNICATION USER RECHARGE    	
634010	TELEPHONE-VENDOR CELLULAR PHONE SVC	
634015	NGN COMMUNICATION USER RECHARGE    	
634016	NGN COMMUNICATION USER REBATE      	
634020	NGN LABOR CLRG COMMUNICATION RCHRG 	
634021	TELECOM MONTHLY SVC/EQUIP RECHARGES	
634022	TELECOM LOCAL/LONG DISTANCE RCHG   	
634023	"TELECOM INSTALL,ADD & CHGS RECHARGE"	
634024	TELECOM DIRECTORY RCHG             	
634025	TELECOMMUNICATION RECHARGE-LAN     	
634026	TELECOM PAGER RECHARGES            	
634027	TELEPHONE CONSULTING SVC RECHARGE  	
634028	TELECOM NON-INVENTORY EQUIP RCHG   	
634029	TELEPHONE SOFTWARE RECHARGE        	
634030	TELECOM NETWORK MONTHLY RECHARGES  	
634031	TELECOM NETWORK PLAN & PROJ RCHG   	
634032	TELECOM NETWORK INSTALLATION RCHG  	
634033	TELEPHONE RECHARGE-FED USER REBATE 	
634034	ACT-OUTREACH                       	
634035	TELECOM TRITON/SMATV CABLE RCHG    	
634036	TELECOMM-WEB CASTING RECHARGE      	
634037	ACT-COMMUNITY SERVER SERVICES      	
634038	TELECOM VOICE PLAN & PROJ RECHARGE 	
634039	TELECOMM OFFNET RECHARGES          	
634040	TELECOM MONTHLY CELLULAR USAGE RCHG	
634041	TELECOM CELL EQUIP AND ACCESSORIES 	
634042	MAIL SVC-MESSENGER                 	
634043	MAIL SVC-ADDRESSING                	
634044	TELECOM MONTHLY ANCILLARY SERV RECH	
634045	TELECOM 800 MHZ BACKBONE RECHARGE  	
