Speaker|Quote|Episode|Airdate|ShowName
Homer Simpson|Homer: All my life I've had one dream. To achieve my many goals.|||The Simpson's
Homer Simpson|Marge: I think the money should be spent on something the whole town can be proud of. <br /><br /> Homer: Like a giant billboard that says 'no fat chicks!'? |||The Simpson's
Homer Simpson|Homer: Lisa! Never ever stop in the middle of a hoedown!|||The Simpson's
Homer Simpson|Homer:	Well if kids are so innocent, why is everything bad named after them?  Acting childish, kidnapping, child abuse ... <br /><br /> Bart: What about adultery? <br /><br /> Homer: Not until you're older, son.|||The Simpson's
Homer Simpson|Homer: Helllooooo... I'm Mister Burns. I believe you have a letter for me. <br /><br /> Clerk: Alright Mr Burns, what is your first name? <br /><br /> Homer: I... don't know...|||The Simpson's
Homer Simpson|Homer: Marriage is like a coffin and each kid is like another nail.|||The Simpson's
Homer Simpson|Homer: Do you want the job done right, or do you want it done fast?|||The Simpson's
Homer Simpson|Homer: I want to share something with you: The three little sentences that will get you through life. Number 1: Cover for me. Number 2: Oh, good idea, Boss! Number 3: It was like that when I got here.|||The Simpson's
Homer Simpson|Homer: Sometimes the only way you can feel good about yourself is by making someone else look bad. And I'm tired of making other people feel good about themselves.|||The Simpson's
Homer Simpson|Homer: I probably shouldn't have eaten that packet of powered gravy I found in the parking lot.|||The Simpson's
Homer Simpson|Homer: Volunteering is for suckers. Did you know that so called volunteers don't even get paid?!|||The Simpson's
Homer Simpson|Homer: A job's a job. I mean, take me. If my plant pollutes the water and poisons the town, by your logic, that would make me a criminal.|||The Simpson's
Homer Simpson|Homer: I think the saddest day of my life was when I realized I could beat my Dad at most things, and Bart experienced that at the age of four.|||The Simpson's
Homer Simpson|Homer: This is the most exciting thing I've seen since Halley's comet collided with the moon.|||The Simpson's
Homer Simpson|Homer: I'm awake. I'm awake. I'm productive member of the team. You can't fire me, I quit! Please, I have a family.|||The Simpson's
Homer Simpson|Homer: Look at them. Watching my TV. Sitting on my couch. You better not be in my ass groove!|||The Simpson's
Homer Simpson|Homer: I felt a surge of power, like god must feel -- when he's holding a gun.|||The Simpson's
Homer Simpson|Homer: I've got two questions. One, where's the fife? And two, gimme the fife.|||The Simpson's
Homer Simpson|Homer: If they think I'm going to stop at that stop sign, they're sadly mistaken!|||The Simpson's
Homer Simpson|Homer: I may just quit my job at the plant to become a full-time stock market guy.|||The Simpson's
Homer Simpson|Homer: Nobody snuggles with Max Power. You strap yourself in and feel the G's!|||The Simpson's
Homer Simpson|Homer: Here's a lesson to you kids-- never love anyone! <br /><br /> Lisa: Not even you dad? <br /><br /> Homer: Especially me!|||The Simpson's
Homer Simpson|Homer: 'Asleep at the switch?' I wasn't asleep, I was drunk! <br /><br /> Bart: I believe you, Dad.|||The Simpson's
Homer Simpson|Marge: I guess we could get more involved in Bart's activities but then I'd be afraid of smothering him. <br /><br /> Homer: Yeah, and then we'd get the chair. <br /><br /> Marge: That's not what I meant. <br /><br /> Homer: It was, Marge, admit it.|||The Simpson's
Homer Simpson|Bart: We're natural-born Carnies, dad. If only we weren't tied down with a family. <br /><br /> Homer: Yeah. We should start our own game, where people throw ducks at balloons and nothing's the way it seems.|||The Simpson's
Homer Simpson|Homer: [talking to 'Police Cops' producers] Uh...so, I just wanna know how come you made your Homer Simpson character so- <br /><br /> Producer: Stupid?... Well, I can assure you, it happened organically. <br /><br /> Homer: It better have!|||The Simpson's
Homer Simpson|Homer: I won't lie to you, fatherhood isn't easy like motherhood|||The Simpson's
Homer Simpson|Homer: I think Mr. Smithers picked me for my motivational skills. Everyone always says they have to work twice as hard when I'm around!|||The Simpson's
Homer Simpson|Homer: Look everyone! Now that I'm a teacher I've sewn patches on my elbows. <br /><br /> Marge: Homer that's supposed to be leather patches on a tweed jacket, not the other way around. You've ruined a perfectly good jacket. <br /><br /> Homer: Incorrect, Marge. Two perfectly good jackets!|||The Simpson's
Homer Simpson|Homer: Wait, I'm no missionary! I don't even believe in Jebus! Let me out. <br /><br /> Pilot: Sorry, no can do. <br /><br /> Homer: Oh save me Jebus!|||The Simpson's
