Category,Business Name,Full Address,Address,City,State,Post Code,Phone,Website,Email Address
alarm,Crown Lock & Safe,"3615 Balboa St, San Francisco, CA 94121",3615 Balboa St, San Francisco,CA,94121,(415) 221-9086,http://www.crownlock.com,joe@crownlock.com
alarm,Mainline Security,"617 7th St, San Francisco, CA 94103",617 7th St, San Francisco,CA,94103,(415) 398-6161,http://www.mainline-security.com,
alarm,Alarms - Fire/TOM JUE & COMPANY,"477 Myra Way, San Francisco, CA 94127",477 Myra Way, San Francisco,CA,94127,(415) 716-9292,,fyrtom@yahoo.com
alarm,All Wired Communications,"San Francisco, CA 94134",,San Francisco,CA,94134,(415) 468-9400,http://www.allwired.net,info@allwired.net
alarm,Advanced Direct Security - ADT Authorized Company,"1 Bush St, San Francisco, CA 94104",1 Bush St, San Francisco,CA,94104,(877) 519-9692,http://www.homesecurityteam.com/?tfid=y,
alarm,Security Choice,Serving the San Francisco Area.,,,,,(888) 426-7140,http://local.ingenio.com/Listings/Details.aspx?NUM=a%3a9271886%3a13%3a4859924%3a14%3a0%3a7,
alarm,Protect America Home Security,Serving the San Francisco Area.,,,,,(888) 604-7107,http://local.ingenio.com/Listings/Details.aspx?NUM=a%3a10340741%3a13%3a4859924%3a14%3a0%3a7,
alarm,ADT® Home Security,Serving the San Francisco Area.,,,,,(877) 323-5621,http://local.ingenio.com/Listings/Details.aspx?NUM=a%3a10210238%3a13%3a4859924%3a14%3a0%3a7,
alarm,Security Choice,Serving the San Francisco Area.,,,,,(888) 442-4613,http://local.ingenio.com/Listings/Details.aspx?NUM=a%3a10159255%3a13%3a4859924%3a14%3a0%3a7,
alarm,Protect Your Home - ADT Authorized Security Dealer,Serving the San Francisco Area. <SPAN class=business-phone phone>(800) 322-1582 <SPAN class=additional-phones></DIV><DIV class=rating sizcache=8 sizset=111><SPAN class=average-rating rating rating-3-5>3.5 stars <SPAN class=review-count sizcache=8 sizset=111>,,,,,,http://ypcom-scsm.protectyourhome.com,
alarm,"ADT Security Services, Inc.",Serving the San Francisco Area.,,,,,(888) 370-9786,http://www.adtfastresponse.com/fastresponse/offer.aspx?ecid=bgtyp100302,
alarm,Acme Security,"1922 Republic Ave, San Leandro, CA 94577",1922 Republic Ave, San Leandro,CA,94577,(800) 355-6584,http://www.acmesecurity.com,
alarm,Allied Security Alarms,"269 Wattis Way, South San Francisco, CA 94080",269 Wattis Way, South San Francisco,CA,94080,(650) 871-8959,http://www.alliedsecurityalarms.com,contactus@alliedsecurityalarms.com
alarm,California Security Alarms Inc,"1009 S Claremont St, San Mateo, CA 94402",1009 S Claremont St, San Mateo,CA,94402,(650) 588-4485,http://www.calsecurity.com,
alarm,William White Co,"3505 Magnolia St, Emeryville, CA 94608",3505 Magnolia St, Emeryville,CA,94608,(510) 658-8167,http://www.wmdwhiteco.com,
alarm,Bay Cities Automatic Gates,"853 Industrial Rd, San Carlos, CA 94070",853 Industrial Rd, San Carlos,CA,94070,(650) 595-4283,http://www.bcautogates.com,info@bcautogates.com
alarm,K & R Security,"1130 Industrial Ave, Petaluma, CA 94952",1130 Industrial Ave, Petaluma,CA,94952,(800) 448-3248,http://www.kandr-security-inc.com,
alarm,First Alarm Security & Patrol Inc,"2365 Paragon Dr, San Jose, CA 95131",2365 Paragon Dr, San Jose,CA,95131,(408) 364-1110,http://www.firstalarm.com,
alarm,Sound & Alarm,"6500 Mission St, Daly City, CA 94014",6500 Mission St, Daly City,CA,94014,(650) 991-4448,http://www.soundandalarm.com,soundandalarm@yahoo.com
alarm,Advanced Direct Security - ADT Authorized Company,Serving the San Francisco Area.,,,,,(866) 314-6058,http://www.homesecurityteam.com/yellowpages,
alarm,Advanced Direct Security - ADT Authorized Company,Serving the San Francisco Area.,,,,,(888) 235-0354,http://www.homesecurityteam.com/yellowpages,
alarm,Alarm USA - ADT Authorized Agent,Serving the San Francisco Area.,,,,,(866) 333-6589,,
alarm,"Vivint, Inc.",Serving the San Francisco Area. <SPAN class=business-phone phone><SPAN class=additional-phones></DIV><DIV class=rating sizcache=8 sizset=271><SPAN class=average-rating rating rating-0>0.0 stars <SPAN class=review-count sizcache=8 sizset=271>,,,,,,http://www.freeapxoffer.com/blue/,id@domain.zzz;id@domain.xx.zzz
alarm,Security Choice,Serving the San Francisco Area.,,,,,(888) 432-1974,http://local.ingenio.com/Service/ADT-Home-Security/9271886,
alarm,Bay Alarm Company,Serving the San Francisco Area.,,,,,(800) 610-1000,http://www.bayalarm.com,webmasters@bayalarm.com;bayalarm@bayalarm.com;marketing@bayalarm.com
alarm,Cal Communication Service Inc.,Serving the San Francisco Area.,,,,,(925) 755-3473,http://www.calcsc.com,sales@calcsc.com
alarm,First Alarm Security & Patrol Inc,"Serving The Greater Bay Area.,",,Serving The Greater Bay Area.,,,(800) 400-1110,http://www.firstalarm.com,
alarm,Muscio Electric-CAT Communications,,,,,,(650) 952-1212,,timgleason@muscioelectric.com
alarm,On-Guard Security,Serving the San Francisco Area.,,,,,(707) 584-0894,http://www.on-guardsecurity.com,onguard@sbcglobal.net
alarm,First Home Alarm - ADT Authorized Dealer,Serving the San Francisco Area.,,,,,(877) 243-9387,,
alarm,Warman Security,Serving the San Francisco Area.,,,,,(800) 592-7626,http://www.warmansecurity.com,support@warmansecurity.com;chris@warmansecurity.com;peter@warmansecurity.com;steve@warmansecurity.com;marty@warmansecurity.com;dispatch@warmansecurity.com;alex@warmansecurity.com;accounting@warmansecurity.com;purchasing@warmansecurity.com
alarm,Ameritech CCTV Co,Serving the San Francisco Area.,,,,,(415) 543-2288,,phcctv@aol.com
alarm,Safety Dynamics,Serving the San Francisco Area.,,,,,(510) 547-7656,,
alarm,Direct Savings USA,Serving the San Francisco Area.,,,,,(415) 200-0893,http://www.directsavingsusa.com,
alarm,Acme Security,Serving the San Francisco Area.,,,,,(800) 355-6584,http://www.acmesecurity.com,
alarm,Direct Savings USA,Serving the San Francisco Area.,,,,,(888) 542-7172,http://www.directsavingsusa.com,
alarm,Electrical Experts,"1035 Pine St Apt 104, San Francisco, CA 94109",1035 Pine St Apt 104, San Francisco,CA,94109,(415) 742-8301,,
alarm,Local Locksmith Service,"2112 22nd St, San Francisco, CA 94107",2112 22nd St, San Francisco,CA,94107,(415) 524-7223,,
alarm,All Access Locksmith 24/7,"243 san jose ave, San Francisco, CA 94110",243 san jose ave, San Francisco,CA,94110,(866) 505-5625,http://www.sanfranciscolocksmith24-7.com,info@allaccess24-7.com
alarm,Audio Symphony,"1525 Van Ness Ave, San Francisco, CA 94109",1525 Van Ness Ave, San Francisco,CA,94109,(415) 292-3300,http://www.triptel.com,rental@triptel.com
alarm,Audio Dimensions,"5635 Mission St, San Francisco, CA 94112",5635 Mission St, San Francisco,CA,94112,(415) 587-8700,,
alarm,Gaylord Security Systems,"71 Stevenson St Ste 400, San Francisco, CA 94105",71 Stevenson St Ste 400, San Francisco,CA,94105,(415) 814-1915,,
alarm,Custom Car Alarms,"10 S Van Ness Ave, San Francisco, CA 94103",10 S Van Ness Ave, San Francisco,CA,94103,(415) 553-8868,,
alarm,Auto Tech Stereo,"396 5th St, San Francisco, CA 94107",396 5th St, San Francisco,CA,94107,(415) 495-8882,,
alarm,Wsb & Assoc,"1385 Mission St Ste 201, San Francisco, CA 94103",1385 Mission St Ste 201, San Francisco,CA,94103,(415) 864-6592,,
alarm,24 hour emergency Locksmith,"415 Pennsylvania Ave, San Francisco, CA 94107",415 Pennsylvania Ave, San Francisco,CA,94107,(415) 756-4043,,
alarm,Century Electric,"221 Oak St, San Francisco, CA 94102",221 Oak St, San Francisco,CA,94102,(415) 861-6522,http://www.centuryelectric.com,jim@centuryelectric.com
alarm,Rlh Fire Protection,"60 Tehama St, San Francisco, CA 94105",60 Tehama St, San Francisco,CA,94105,(415) 442-4833,http://www.rlhfp.com,gholt@rlhfp.com;jhernandez@rlhfp.com;gstites@rlhfp.com;gfulton@rlhfp.com;carthurs@rlhfp.com
alarm,North America Alarm Compnay Inc,"2018 Oakdale Ave, San Francisco, CA 94124",2018 Oakdale Ave, San Francisco,CA,94124,(415) 826-0333,http://www.naalarm.com,bill@naalarm.com;sales@naalarm.com;yolanda@naalarm.com;tech@naalarm.com
alarm,Applied Video Solutions,"2601 Mission St, San Francisco, CA 94110",2601 Mission St, San Francisco,CA,94110,(415) 824-1717,http://www.snowlinc.com,sales@applyvideo.com;support@applyvideo.com
alarm,"Pacific Heights Security, Inc.","5758 Geary Blvd, San Francisco, CA 94121",5758 Geary Blvd, San Francisco,CA,94121,(650) 619-9335,http://WWW.PacificHeightsSecurity.com,
alarm,Detect All Security Systems,"3248 22nd St, San Francisco, CA 94110",3248 22nd St, San Francisco,CA,94110,(415) 821-2356,,
alarm,Pacific Automatic Sprinkler,"2601 Harrison St, San Francisco, CA 94110",2601 Harrison St, San Francisco,CA,94110,(415) 826-5800,,
alarm,Birthday Alarm,"333 Bryant St Ste 330, San Francisco, CA 94107",333 Bryant St Ste 330, San Francisco,CA,94107,(415) 896-9200,,
