Date	Description	Amount	Running Bal.
04/16/2011	Beginning balance as of 04/16/2011		"3500.00"
04/22/2011	"BKOFAMERICA ATM WITHDRWL 04-21 #005765 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"-80.00"	"3420.00"
04/25/2011	"Check 98"	"-1180.00"	"2240.00"
04/25/2011	"Check 100"	"-760.28"	"1479.72"
04/25/2011	"BKOFAMERICA ATM WITHDRWL 04-23 #008660 CUSTOMER 3448 BANK OF AMERICA, SAN MATEO, CA"	"-200.00"	"1279.72"
04/25/2011	"BKOFAMERICA ATM WITHDRWL 04-25 #009665 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"-80.00"	"1199.72"
04/25/2011	"CHEVRON 000920 04/24 CARD #3448 PURCHASE #66668240460311150399950 NOVATO, CA"	"-30.00"	"1169.72"
04/25/2011	"O'NEILL'S IRISH PUB 04/23 CARD #3448 PURCHASE #24493981114206099100431 REDWOOD CITY, CA"	"-24.00"	"1145.72"
04/27/2011	"BKOFAMERICA ATM WITHDRWL 04-27 #009989 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"-140.00"	"1005.72"
04/27/2011	"MASON LIQUOR AND DELI 04/25 CARD #3448 PURCHASE #24460081116980001793014 SAN FRANCISCO, CA"	"-15.98"	"989.74"
04/27/2011	"BURGER KING #07766 04/25 CARD #3448 PURCHASE #24186161116200999300042 ROHNERT PARK, CA"	"-6.00"	"983.74"
04/28/2011	"CA TLR transfer to CHK 4239 Banking Ctr LAKESHORE PLAZA IN-STORE #0001758 CA Confirmation# 2702908378"	"-250.00"	"733.74"
04/29/2011	"YAMA SUSHI RESTAURANT 04/27 CARD #3448 PURCHASE #24122471118900010900120 415-3332889, CA"	"-21.00"	"712.74"
05/02/2011	"PARKMERCED ATM WITHDRWL 04-29 #000770810 CUSTOMER 3448 PARKMERCED SAN FRANCISCO CA"	"-63.00"	"649.74"
05/02/2011	"CARLTON HAIR INTERNATIO 04/28 CARD #3448 PURCHASE #24717051119691195683272 SAN FRANCISCO, CA"	"-50.17"	"599.57"
05/02/2011	"AMAZON MKTPLACE PMTS 05/01 CARD #3448 PURCHASE #24692161121000414732450 AMZN.COM/BILL, WA"	"-42.99"	"556.58"
05/02/2011	"OLYMPIAN #219 04/28 CARD #3448 PURCHASE #24761971119259118050906 SO. SAN FRANC, CA"	"-20.00"	"536.58"
05/02/2011	"PARK PLZ/FINE FOOD 04/29 CARD #3448 PURCHASE #24224431120103034055545 SAN FRANCISCO, CA"	"-12.96"	"523.62"
05/02/2011	"NON-BANK CARD ATM FEE ON 04-29 #000770810 CUSTOMER 3448 AT TERMINAL 2666A PARKMERCED PARKMERCED SAN FRANCISCO CA"	"-2.00"	"521.62"
05/04/2011	"Stellar Manageme DES:RENTAL ID:5263544 INDN:JasonSmith CO ID:1743151215 PPD REF:00026086406512110825001112300900703711050427"	"-515.00"	"6.62"
05/05/2011	"PAPA JOHN'S #3654 05/03 CARD #3448 PURCHASE #24341291124251606010190 4155867272, CA"	"-7.65"	"-1.03"
