InvoiceID	 PaidAmt 	CheckNum
2015	250	9240
2024	385	636588
2017	1035	1988
2025	385	636588
2027	325	636588
2028	385	636588
2026	422.5	636588
2029	385	636588
2030	385	636588
2031	385	636588
2032	325	636588
2033	800	636588
2035	0	636588
2037	775	100457
2046	1012.5	443650
2047	895	443650
2034	800	636588
2038	1075	100456
2066	385	636588
2076	325	636588
2125	325	636588
2039	717.5	100455
2040	250	9240
2048	1790.5	443359
2067	385	3267652
2078	200	9329
2080	235	1318
2096	475	655378
2049	1050	1409
2097	250	9481
2098	385	636588
2068	407.5	14763
2103	600	100489
2069	520	14763
2118	650	3267652
2070	357.5	14763
2071	300	14805
2077	325	14805
2122	250	9329
2073	120	1000631
2117	581.25	448
2123	250	9329
2072	300	14805
2074	120	1000631
2081	385	636588
2114	0	656288
2079	385	9329
2099	325	1878
2101	812.5	100463
2102	460	100462
2023	840	443874
2083	450	24031
2104	985.5	9329
2115	557	657295
2126	385	636588
2140	325	636588
2042	815	23851
2124	200	636588
2148	300	15016
2119	557	657295
2127	325	636588
2157	325	636588
2121	825	746784
2128	200	636588
2120	905	84821
2130	825	84821
2131	825	84821
2143	240	3267652
2132	1698	444093
2084	450	24031
2133	932.8	444093
2100	975	443874
2134	932.8	444093
2138	325	636588
2139	200	9329
2135	932.8	444093
2165	300	15016
2085	450	24031
2136	932.8	444093
2156	325	636588
2086	450	24031
2137	1698.8	444093
2141	235	9329
2166	400	15038
2142	600	100508
2167	410	15016
2168	350	15038
2169	350	15038
2041	1150	23886
2016	695	23887
2055	943.75	23888
2178	422.5	3272082
2043	1150	23889
2145	325	1333
2146	325	1333
2187	300	1957
2152	600	10943
2182	385	100511
2188	325	1957
2087	450	24031
2155	385	636588
2151	385	636588
2154	385	636588
2185	385	3267652
2088	450	24031
2144	793.75	25510
2147	325	1333
2153	740	1175
2163	725	660437
2129	385	2458761
2089	0	24031
2149	637.5	445159
2150	450	24031
2160	385	636588
2161	385	636588
2162	385	636588
2174	385	445828
2176	637.5	445159
2051	1597	23939
2175	497.5	445159
2180	325	15038
2164	410	15016
2171	751.5	445159
2172	475	445159
2173	845.5	445159
2060	795	23938
2189	375	1342
2192	385	3267652
2201	460	3627652
2203	475	1342
2193	393.75	15060
2204	545	15060
2063	795	23941
2195	450	24168
2196	385	1000839
2205	879.5	445644
2197	655	15060
2199	655	15060
2200	375	1342
2207	655	15060
2214	600	15140
2215	435	15140
2216	385	662223
2056	1006.25	24046
2208	325	15140
2209	1290	445644
2211	492.5	445828
2212	325	15140
2218	550	100524
2219	385	100524
2170	1165	445398
2222	187.5	445828
2223	875	445828
2224	880	446116
2229	325	1351
2230	300	1351
2105	1100	24117
2010	450	2460425
2232	652.5	445398
2011	450	2461036
1818	225	1243
