InvoiceID	PaidAmt
2015	250
2024	385
2017	1035
2025	385
2027	325
2028	385
2026	422.5
2029	385
2030	385
2031	385
2032	325
2033	800
2035	0
2037	775
2046	1012.5
2047	895
2034	800
2038	1075
2066	385
2076	325
2125	325
2039	717.5
2040	250
2048	1790.5
2067	385
2078	200
2080	235
2096	475
2049	1050
2097	250
2098	385
2068	407.5
2103	600
2069	520
2118	650
2070	357.5
2071	300
2077	325
2122	250
2073	120
2117	581.25
2123	250
2072	300
2074	120
2081	385
2114	0
2079	385
2099	325
2101	812.5
2102	460
2023	840
2083	450
2104	985.5
2115	557
2126	385
2140	325
2042	815
2124	200
2148	300
2119	557
2127	325
2157	325
2121	825
2128	200
2120	905
2130	825
2131	825
2143	240
2132	1698
2084	450
2133	932.8
2100	975
2134	932.8
2138	325
2139	200
2135	932.8
2165	300
2085	450
2136	932.8
2156	325
2086	450
2137	1698.8
2141	235
2166	400
2142	600
2167	410
2168	350
2169	350
2041	1150
2016	695
2055	943.75
2178	422.5
2043	1150
2145	325
2146	325
2187	300
2152	600
2182	385
2188	325
2087	450
2155	385
2151	385
2154	385
2185	385
2088	450
2144	793.75
2147	325
2153	740
2163	725
2129	385
2089	0
2149	637.5
2150	450
2160	385
2161	385
2162	385
2174	385
2176	637.5
2051	1597
2175	497.5
2180	325
2164	410
2171	751.5
2172	475
2173	845.5
2060	795
2189	375
2192	385
2201	460
2203	475
2193	393.75
2204	545
2063	795
2195	450
2196	385
2205	879.5
2197	655
2199	655
2200	375
2207	655
2214	600
2215	435
2216	385
2056	1006.25
2208	325
2209	1290
2211	492.5
2212	325
2218	550
2219	385
2170	1165
2222	187.5
2223	875
2224	880
2229	325
2230	300
2105	1100
2010	450
2232	652.5
2011	450
1818	225
