InvoiceID	JobID	InvoiceDate	 InvoiceAmt 	CheckDate	 PaidAmt 	CheckNum	 Notes 	
2010	1495	12/7/2011	 450.00 	10/14/2011	 450.00 	2460425		
2011	1496	12/14/2011	 450.00 	10/17/2011	 450.00 	2461036		
2012			    		    			
2015	1410	9/1/2011	 250.00 	10/3/2011	 250.00 	9240		
2016	1510	10/13/2011	 695.00 	10/13/2011	 695.00 	23887		
2017	1393	9/2/2011	 1,035.00 	9/10/2011	 1,035.00 	1988		
2018	1517	1/24/2012	 945.00 	1/19/2012	 945.00 	24283		
2019	1518	2/21/2012	 695.00 	2/21/2012	 695.00 	24415	 see1512 	
2020	1514	6/6/2012	 1,100.00 	6/12/2012	 1,100.00 	24785		
2021	1513	5/14/2012	 1,070.00 		    			
2022	1523				    		 duplicate of 2052 	
2023	1537	9/25/2011	 840.00 	10/12/2011	 840.00 	443874		
2024	1418	9/1/2011	 385.00 	12/9/2011	 385.00 	636588		
2025	1421	9/6/2011	 385.00 	12/9/2011	 385.00 	636588		
2026	1424	9/8/2011	 422.50 	12/9/2011	 422.50 	636588		
2027	1420	9/6/2011	 325.00 	12/9/2011	 325.00 	636588		
2028	1422	9/7/2011	 385.00 	12/9/2011	 385.00 	636588		
2029	1425	9/8/2011	 385.00 	12/9/2011	 385.00 	636588		
2030	1396	9/8/2011	 385.00 	12/9/2011	 385.00 	636588		
2031	1426	9/8/2011	 385.00 	12/9/2011	 385.00 	636588		
2032	1423	9/8/2011	 325.00 	12/9/2011	 325.00 	636588		
2033	1428	9/9/2011	 800.00 	12/9/2011	 800.00 	636588		
2034	1431	9/10/2011	 800.00 	12/9/2011	 800.00 	636588		
2035	1430	9/9/2011	    		    	636588		
2036	1395	9/4/2011	 397.50 	1/19/2012	 397.50 	15341		
2037	1416	9/9/2011	 775.00 	9/21/2011	 775.00 	100457		
2038	1509	9/10/2011	 1,075.00 	9/21/2011	 1,075.00 	100456		
2039	1503	9/14/2011	 717.50 	9/21/2011	 717.50 	100455		
2040	1389	9/14/2011	 250.00 	10/3/2011	 250.00 	9240		
2041	1490	10/12/2011	 1,150.00 	10/12/2011	 1,150.00 	23886		
2042	1489	9/28/2011	 815.00 	9/28/2011	 815.00 	23851		
2043	1491	10/14/2011	 1,150.00 	10/14/2011	 1,150.00 	23889		
2044	1567	5/31/2012	 685.00 	6/1/2012	 685.00 	24701		
2045	1494	6/5/2012	 1,085.00 	6/5/2012	 1,085.00 	24783		
2046	1487	9/9/2011	 1,012.50 	10/5/2011	 1,012.50 	443650		
2047	1498	9/9/2011	 895.00 	10/5/2011	 895.00 	443650		
2048	1521	9/15/2011	 1,790.50 	9/28/2011	 1,790.50 	443359		
2049	1417	9/16/2011	 900.00 	9/19/2011	 1,050.00 	1409		
2050	1565	10/4/2011	 975.00 		    			
2051	1527	10/27/2011	 1,597.00 	10/27/2011	 1,597.00 	23939		
2052	1523	2/23/2012	 695.00 	2/23/2012	 695.00 	24415	 DUPLICATE 	
2053	1524	4/24/2012	 1,975.00 	4/24/2012	 1,975.00 	24612		
2054	1525	5/23/2012	 1,350.00 	5/22/2012	 1,350.00 	24685		
2055	1501	10/13/2011	 943.75 	10/13/2011	 943.75 	23888		
2056	1502	11/8/2011	 1,006.25 	11/7/2011	 1,006.25 	24046		
2057	1506	3/23/2012	 725.00 	3/21/2012	 725.00 	24533		
2058	1508	5/31/2012	 1,045.00 	6/1/2012	 1,006.00 	24700		
2059	1526	6/5/2012	 912.50 	6/5/2012	 912.50 	24784		
2060	1368	10/31/2011	 795.00 	10/19/2011	 795.00 	23938		
2061	1368		    		    			
2062	1370	1/31/2012	 695.00 	1/19/2012	 695.00 	24282		
2063	1369	11/4/2011	 795.00 	11/4/2011	 795.00 	23941		
2064	1372	6/4/2012	 817.50 	6/4/2012	 817.50 	24706		
2065	1371	6/6/2012	    		    			
2066	1434	9/13/2011	 385.00 	12/9/2011	 385.00 	636588		
2067	1549	9/15/2011	 385.00 	11/17/2011	 385.00 	3267652		
2068	1552	9/17/2011	 407.50 	9/30/2011	 407.50 	14763		
2069	1553	9/18/2011	 520.00 	9/30/2011	 520.00 	14763		
2070	1555	9/19/2011	 357.50 	9/30/2011	 357.50 	14763		
2071	1568	9/20/2011	 300.00 	9/30/2011	 300.00 	14805		
2072	1572	9/22/2011	 300.00 	9/30/2011	 300.00 	14805		
2073	1543	9/21/2011	 120.00 	10/11/2011	 120.00 	1000631		
2074	1544	9/22/2011	 120.00 	10/11/2011	 120.00 	1000631		
2075	1573	9/23/2011	 550.00 		    			
2076	1433	9/13/2011	 325.00 	12/9/2011	 325.00 	636588		
2077	1571	9/20/2011	 325.00 	10/11/2011	 325.00 	14805		
2078	1411	9/15/2011	 200.00 	10/24/2011	 200.00 	9329		
2079	1390	9/23/2011	 385.00 	10/24/2011	 385.00 	9329		
2080	1577	9/15/2011	 235.00 	9/27/2011	 235.00 	1318		
2081	1437	9/22/2011	 385.00 	12/9/2011	 385.00 	636588		
2082	1575	9/23/2011	    		    	 	 duplicate invoice 	
2083	1579	9/27/2011	 450.00 	10/27/2011	 450.00 	24031		
2084	1580	10/3/2011	 450.00 	10/27/2011	 450.00 	24031		
2085	1581	10/6/2011	 450.00 	10/27/2011	 450.00 	24031		
2086	1582	10/7/2011	 450.00 	10/27/2011	 450.00 	24031		
2087	1647	10/17/2011	 450.00 	10/27/2011	 450.00 	24031		
2088	1584	10/20/2011	 450.00 	10/27/2011	 450.00 	24031		
2089		10/25/2011	 450.00 	10/27/2011	    	24031		
2090	1586	11/29/2011	 450.00 	2/6/2012	 450.00 	24330		
2091	1587	12/8/2011	 450.00 	2/6/2012	 450.00 	24330		
2092	1588	12/13/2011	 450.00 	2/6/2012	 450.00 	24330		
2093	1589	1/13/2012	    		    	24330	 charter problem 	
2094	1590	2/2/2012	    		    		 DUPLICATE 2342 	
2095	1591	2/9/2012	 450.00 	3/20/2012	 450.00 	24514		
2096	1550	9/15/2011	 475.00 	9/15/2011	 475.00 	655378		
2097	1405	9/16/2011	 250.00 	12/12/2011	 250.00 	9481		
2098	1435	9/16/2011	 385.00 	12/9/2011	 385.00 	636588		
2099	1575	9/23/2011	 325.00 	10/4/2011	 325.00 	1878		
2100	1565	10/4/2011	 975.00 	10/12/2011	 975.00 	443874		
2101	1569	9/24/2011	 812.50 	9/28/2011	 812.50 	100463		
2102	1009	9/24/2011	 460.00 	9/28/2011	 460.00 	100462		
2103	1008	9/17/2011	 600.00 	10/19/2011	 600.00 	100489		
2104	1391	9/27/2011	 985.50 	10/24/2011	 985.50 	9329		
2105	1528	12/6/2011	 1,100.00 	12/6/2011	 1,100.00 	24117		
2106	1529	2/8/2012	 1,100.00 	2/6/2012	 1,100.00 	24323		
2107	1530	3/21/2012	 1,100.00 	3/21/2012	 1,100.00 	24531		
2108	1574	3/22/2012	 450.00 	3/21/2012	 450.00 	24532		
2109	1531	5/29/2012	 975.00 	5/1/2012	 975.00 	24699		
2110	1532	5/30/2012	 975.00 	5/1/2012	 975.00 	24699		
2111	1535	6/0/12	 725.00 		    			
2112	1533	6/11/2012	 595.00 	6/7/2012	 595.00 	24815		
2113	1534	6/12/2012	 550.00 	6/7/2012	 550.00 	24815		
2114	1538	9/22/2011	 635.00 	10/21/2011	    	656288		
2115	1539	9/27/2011	 557.00 	10/28/2011	 557.00 	657295		
2116	1563	9/19/2011	 475.00 	1/27/2012	 475.00 	3288107		
2117	1554	9/21/2011	 581.25 	10/7/2011	 581.25 	448		
2118	1596	9/18/2011	 650.00 	11/17/2011	 650.00 	3267652		
2119	1540	9/29/2011	 557.00 	10/28/2011	 557.00 	657295		
2120	1548	10/1/2011	 905.00 	10/20/2011	 905.00 	84821		
2121	1576	9/30/2011	 825.00 	11/9/2011	 825.00 	746784		
2122	1406	9/20/2011	 250.00 	10/24/2011	 250.00 	9329		
2123	1522	9/21/2011	 250.00 	10/24/2011	 250.00 	9329		
2124	1440	9/28/2011	 200.00 	12/9/2011	 200.00 	636588		
2125	1432	9/13/2011	 325.00 	12/9/2011	 325.00 	636588		
2126	1439	9/27/2011	 385.00 	12/9/2011	 385.00 	636588		
2127	1441	9/29/2011	 325.00 	12/9/2011	 325.00 	636588		
2128	1443	9/30/2011	 200.00 	12/9/2011	 200.00 	636588		
2129	1606	10/24/2011	 385.00 	10/10/2011	 385.00 	2458761		
2130	1546	10/1/2011	 825.00 	10/20/2011	 825.00 	84821		
2131	1547	10/1/2011	 825.00 	10/20/2011	 825.00 	84821		
2132	1551	10/2/2011	 1,698.80 	10/19/2011	 1,698.00 	444093		
2133	1558	10/3/2011	 932.80 	10/19/2011	 932.80 	444093		
