InvoiceID	CheckDate	 PaidAmt 	CheckNum	 Notes 
2010	10/14/2011	450	2460425	
2011	10/17/2011	450	2461036	
2012		    		
2015	10/3/2011	250	9240	
2016	10/13/2011	695	23887	
2017	9/10/2011	1035.00	1988	
2018	1/19/2012	945	24283	
2019	2/21/2012	695	24415	 see1512 
2020	6/12/2012	1100.00	24785	
2021		    		
2022		    		 duplicate of 2052 
2023	10/12/2011	840	443874	
2024	12/9/2011	385	636588	
2025	12/9/2011	385	636588	
2026	12/9/2011	422.5	636588	
2027	12/9/2011	325	636588	
2028	12/9/2011	385	636588	
2029	12/9/2011	385	636588	
2030	12/9/2011	385	636588	
2031	12/9/2011	385	636588	
2032	12/9/2011	325	636588	
2033	12/9/2011	800	636588	
2034	12/9/2011	800	636588	
2035		    	636588	
2036	1/19/2012	397.5	15341	
2037	9/21/2011	775	100457	
2038	9/21/2011	1075.00	100456	
2039	9/21/2011	717.5	100455	
2040	10/3/2011	250	9240	
2041	10/12/2011	1150.00	23886	
2042	9/28/2011	815	23851	
2043	10/14/2011	1150.00	23889	
2044	6/1/2012	685	24701	
2045	6/5/2012	1085.00	24783	
2046	10/5/2011	1012.50	443650	
2047	10/5/2011	895	443650	
2048	9/28/2011	1790.50	443359	
2049	9/19/2011	1050.00	1409	
2050		    		
2051	10/27/2011	1597.00	23939	
2052	2/23/2012	695	24415	 DUPLICATE 
2053	4/24/2012	1975.00	24612	
2054	5/22/2012	1350.00	24685	
2055	10/13/2011	943.75	23888	
2056	11/7/2011	1006.25	24046	
2057	3/21/2012	725	24533	
2058	6/1/2012	1006.00	24700	
2059	6/5/2012	912.5	24784	
2060	10/19/2011	795	23938	
2061		    		
2062	1/19/2012	695	24282	
2063	11/4/2011	795	23941	
2064	6/4/2012	817.5	24706	
2065		    		
2066	12/9/2011	385	636588	
2067	11/17/2011	385	3267652	
2068	9/30/2011	407.5	14763	
2069	9/30/2011	520	14763	
2070	9/30/2011	357.5	14763	
2071	9/30/2011	300	14805	
2072	9/30/2011	300	14805	
2073	10/11/2011	120	1000631	
2074	10/11/2011	120	1000631	
2075		    		
2076	12/9/2011	325	636588	
2077	10/11/2011	325	14805	
2078	10/24/2011	200	9329	
2079	10/24/2011	385	9329	
2080	9/27/2011	235	1318	
2081	12/9/2011	385	636588	
2082		    	 	 duplicate invoice 
2083	10/27/2011	450	24031	
2084	10/27/2011	450	24031	
2085	10/27/2011	450	24031	
2086	10/27/2011	450	24031	
2087	10/27/2011	450	24031	
2088	10/27/2011	450	24031	
2089	10/27/2011	    	24031	
2090	2/6/2012	450	24330	
2091	2/6/2012	450	24330	
2092	2/6/2012	450	24330	
2093		    	24330	 charter problem 
2094		    		 DUPLICATE 2342 
2095	3/20/2012	450	24514	
2096	9/15/2011	475	655378	
2097	12/12/2011	250	9481	
2098	12/9/2011	385	636588	
2099	10/4/2011	325	1878	
2100	10/12/2011	975	443874	
2101	9/28/2011	812.5	100463	
2102	9/28/2011	460	100462	
2103	10/19/2011	600	100489	
2104	10/24/2011	985.5	9329	
2105	12/6/2011	1100.00	24117	
2106	2/6/2012	1100.00	24323	
2107	3/21/2012	1100.00	24531	
2108	3/21/2012	450	24532	
2109	5/1/2012	975	24699	
2110	5/1/2012	975	24699	
2111		    		
2112	6/7/2012	595	24815	
2113	6/7/2012	550	24815	
2114	10/21/2011	    	656288	
2115	10/28/2011	557	657295	
2116	1/27/2012	475	3288107	
2117	10/7/2011	581.25	448	
2118	11/17/2011	650	3267652	
2119	10/28/2011	557	657295	
2120	10/20/2011	905	84821	
2121	11/9/2011	825	746784	
2122	10/24/2011	250	9329	
2123	10/24/2011	250	9329	
2124	12/9/2011	200	636588	
2125	12/9/2011	325	636588	
2126	12/9/2011	385	636588	
2127	12/9/2011	325	636588	
2128	12/9/2011	200	636588	
2129	10/10/2011	385	2458761	
2130	10/20/2011	825	84821	
2131	10/20/2011	825	84821	
2132	10/19/2011	1698.00	444093	
2133	10/19/2011	932.8	444093	
2134	10/19/2011	932.8	444093	
2135	10/19/2011	932.8	444093	
2136	10/19/2011	932.8	444093	
2137	10/19/2011	1698.80	444093	
2138	12/9/2011	325	636588	
2139	10/24/2011	200	9329	
2140	12/9/2011	325	636588	
2141	10/24/2011	235	9329	
2142	11/4/2011	600	100508	
2143	11/17/2011	240	3267652	
2144	11/2/2011	793.75	25510	
2145	10/27/2011	325	1333	
2146	10/27/2011	325	1333	
2147	10/27/2011	325	1333	
2148	11/11/2011	300	15016	
2149	11/16/2011	637.5	445159	
2150	10/27/2011	450	24031	
2151	12/9/2011	385	636588	
2152	9/20/2011	600	10943	
2153	11/9/2011	740	1175	 wilderness art paid 
2154	12/9/2011	385	636588	
2155	12/9/2011	385	636588	
2156	12/9/2011	325	636588	
2157	12/9/2011	325	636588	
2158	12/9/2011	385	636588	
2159	12/9/2011	325	636588	
2160	12/9/2011	385	636588	
2161	12/9/2011	385	636588	
2162	12/9/2011	385	636588	
2163	11/18/2011	725	660437	
2164	11/11/2011	410	15016	
2165	11/11/2011	300	15016	
2166	11/15/2011	400	15038	
2167	11/11/2011	410	15016	
2168	11/15/2011	350	15038	
2169	11/15/2011	350	15038	
2170	11/22/2011	1165.00	445398	
2171	11/16/2011	751.5	445159	
2172	11/16/2011	475	445159	
2173	11/16/2011	845.5	445159	
2174	12/7/2011	385	445828	
2175	11/16/2011	497.5	445159	
2176	11/16/2011	637.5	445159	
2177		    		
2178	12/1/2011	422.5	3272082	
2179	12/9/2011	385	636588	
2180	11/15/2011	325	15038	
2181	1/11/2012	600	100568	
2182	11/4/2011	385	100511	
2183	1/17/2012	250	9625	
2184	1/17/2012	225	9625	
2185	11/17/2011	385	3267652	
2186	12/9/2011	385	636588	
2187	11/7/2011	300	1957	
2188	11/17/2011	325	1957	
2189	11/10/2011	375	1342	
2190	12/9/2011	325	636588	
2191	1/17/2012	250	9625	
2192	11/17/2011	385	3267652	
2193	11/18/2011	393.75	15060	
2194	12/9/2011	385	636588	
2195	12/28/2011	450	24168	
2196	11/17/2011	385	1000839	
2197	11/18/2011	655	15060	
2198	12/9/2011	325	636588	
2199	11/18/2011	655	15060	
2200	11/10/2011	375	1342	
2201	11/17/2011	460	3627652	
2202	12/9/2011	385	636588	
2203	11/10/2011	475	1342	
2204	11/18/2011	545	15060	
2205	11/30/2011	879.5	445644	
2206	12/9/2011	385	636588	
2207	11/18/2011	655	15060	
2208	12/6/2011	325	15140	
2209	11/30/2011	1290.00	445644	
2210		    		 duplicate 
2211	12/7/2011	492.5	445828	
2212	12/6/2011	325	15140	
2213	1/11/2012	885	446913	
2214	12/6/2011	600	15140	
2215	12/6/2011	435	15140	
2216	12/1/2011	385	662223	
2217	12/9/2011	435	636588	
2218	11/22/2011	550	100524	
2219	11/22/2011	385	100524	
2220		    		 was cancelled early 
2221	1/25/2012	1299.75	447373	
2222	12/7/2011	187.5	445828	 overtime charge see2170 
2223	12/7/2011	875	445828	
2224	12/14/2011	880	446116	
2225	2/7/2012	385	641877	
2226	2/7/2012	385	641877	
2227	2/7/2012	800	641877	
2228	5/2/2012	385	649554	
2229	11/28/2011	325	1351	
2230	11/28/2011	300	1351	
2231	1/11/2012	695	446913	
2232	11/22/2011	652.5	445398	
2233	2/5/2012	991	direct deposit	
2234	2/7/2012	422.5	641877	
2235	2/7/2012	460	641877	
2236	2/7/2012	385	641877	
2237	2/9/2012	450	24330	
2238		    		
2239	2/7/2012	385	641877	
2240	2/7/2012	385	641877	
2241	1/3/2012	600	100563	
2242				
2243	0	    	0	 duplicate job 2277 
2244	2/7/2012	450	641877	
2245		    		
