SentInvoiceID	Business	Description	BusinessLocation	JobID	JobDate	 QuoteAmount 	PaidDate	 PaidAmt 	CheckNum	TIPS	 OUTSOURCED 	NOTES
2015	Gateway	.	.	1410	9/1/2011	 $250.00 	10/3/2011	 $250.00 	9240			
2024	San Francisco USD	marshall HS	b soccer	1418	9/1/2011	 $385.00 	12/9/2011	 $385.00 	636588			
2017	R Colindres	.	.	1393	9/2/2011	" $1,035.00 "	9/10/2011	" $1,035.00 "	1988			
2036	SFMB	Patricia	.	1395	9/4/2011	 $397.50 						
2025	San Francisco USD	roosevelt MS	baseball	1421	9/6/2011	 $385.00 	12/9/2011	 $385.00 	636588			
2027	San Francisco USD	ISA	b soccer	1420	9/6/2011	 $325.00 	12/9/2011	 $325.00 	636588			
2028	San Francisco USD	MLK school	softball	1422	9/7/2011	 $385.00 	12/9/2011	 $385.00 	636588			
2026	San Francisco USD	MLK school	baseball	1424	9/8/2011	 $422.50 	12/9/2011	 $422.50 	636588			
2029	San Francisco USD	roosevelt MS	softball	1425	9/8/2011	 $385.00 	12/9/2011	 $385.00 	636588			
2030	San Francisco USD	marshall HS	b soccer	1396	9/8/2011	 $385.00 	12/9/2011	 $385.00 	636588			
2031	San Francisco USD	Visitation HS	baseball	1426	9/8/2011	 $385.00 	12/9/2011	 $385.00 	636588			
2032	San Francisco USD	ISA	b soccer	1423	9/8/2011	 $325.00 	12/9/2011	 $325.00 	636588			
2033	San Francisco USD	Lincoln HS	b soccer	1428	9/9/2011	 $800.00 	12/9/2011	 $800.00 	636588			
2035	San Francisco USD	james lick	softball	1430	9/9/2011	 $-   		 $-   	636588			
2037	Event West	Ben	206181	1416	9/9/2011	 $775.00 	9/21/2011	 $775.00 	100457			
2046	WCCUSD	Pinole HS	V Football	1487	9/9/2011	" $1,012.50 "	10/5/2011	" $1,012.50 "	443650			
2047	WCCUSD	Pinole HS	JV Football	1498	9/9/2011	 $895.00 	10/5/2011	 $895.00 	443650			
2034	San Francisco USD	school	b soccer	1431	9/10/2011	 $800.00 	12/9/2011	 $800.00 	636588			
2038	Event West	andy	206333	1509	9/10/2011	" $1,075.00 "	9/21/2011	" $1,075.00 "	100456			
2066	San Francisco USD	james lick	baseball	1434	9/13/2011	 $385.00 	12/9/2011	 $385.00 	636588			
2076	San Francisco USD	International Sch	b soccer	1433	9/13/2011	 $325.00 	12/9/2011	 $325.00 	636588			
2125	San Francisco USD	ISA	b soccer	1432	9/13/2011	 $325.00 	12/9/2011	 $325.00 	636588			
2039	Event West	andy	206304	1503	9/14/2011	 $717.50 	9/21/2011	 $717.50 	100455			
2040	Gateway	Joe	volleyball	1389	9/14/2011	 $250.00 	10/3/2011	 $250.00 	9240			
2048	WCCUSD	Pinole HS	study trip	1521	9/15/2011	" $1,790.50 "	9/28/2011	" $1,790.50 "	443359			
2067	Compass Transportation	95221	.	1549	9/15/2011	 $385.00 	11/17/2011	 $385.00 	3267652			
2078	Gateway	Joe	sports	1411	9/15/2011	 $200.00 	10/24/2011	 $200.00 	9329			
2080	Eriton Transportation	.	.	1577	9/15/2011	 $235.00 	9/27/2011	 $235.00 	1318			
2096	Coach America	23774/93946	.	1550	9/15/2011	 $475.00 	9/15/2011	 $475.00 	655378			
2049	A Friend in Town	Jesse Warn	.	1417	9/16/2011	 $900.00 	9/19/2011	" $1,050.00 "	1409			
2097	Gateway	joe	sports	1405	9/16/2011	 $250.00 	12/12/2011	 $250.00 	9481			
