Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer,Driver
Sat 4/1/23,1680325080000,1680354900000,79080000,22500000,29820000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053090,-122240227,44939,
Sat 4/1/23,1680356880000,1680358200000,24480000,25800000,1320000,"277 Yosemite Dr, Pittsburg CA 94565, US",,3601  - 3601,38003266,-121889143,44963,
Sat 4/1/23,1680362940000,1680380640000,30540000,48240000,17700000,"E Loop Rd, Hayward CA 94542, US",,3601  - 3601,37657152,-122051358,45023,
Sat 4/1/23,1680380760000,1680381780000,48360000,49380000,1020000,"Old Hillary Rd, Hayward CA 94542, US",,3601  - 3601,37658589,-122054090,45023,
Sat 4/1/23,1680381840000,1680382500000,49440000,50100000,720000,"Old Hillary Rd, Hayward CA 94542, US",,3601  - 3601,37657749,-122053376,45023,
Sun 4/2/23,1672882620000,1680464100000,63420000,45300000,7581480000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3602 - 3602,38053059,-122240284,6335,
Sun 4/2/23,1680298920000,1680469860000,52920000,51060000,171000000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053456,-122240640,75757,
Sun 4/2/23,1680472200000,1680473580000,53400000,54780000,1380000,"505 Fairview Ave, Brentwood CA 94513, US",,2802  - 2802,37934033,-121723637,75793,
Sun 4/2/23,1680473640000,1680475740000,54840000,56940000,2100000,"Central Blvd, Brentwood CA 94513, US",,2802  - 2802,37933212,-121721947,75793,
Sun 4/2/23,1680478260000,1680478680000,59460000,59880000,360000,"7th St, Rodeo CA 94572, US",,2802  - 2802,38028605,-122263313,75829,
Sun 4/2/23,1680313320000,1680480660000,67320000,61860000,167400000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053770,-122241050,133015,
Sun 4/2/23,1680483180000,1680484500000,64380000,65700000,1320000,"Central Blvd, Brentwood CA 94513, US",,3501  - 3501,37933197,-121722294,133051,
Sun 4/2/23,1680487320000,1680487920000,68520000,69120000,600000,"796 7th St, Rodeo CA 94572, US",,3501  - 3501,38028513,-122264659,133087,
Sun 4/2/23,1680488400000,1680489060000,69600000,70260000,660000,"Parker Ave, Rodeo CA 94572, US",,3501  - 3501,38028772,-122265728,133088,
Sun 4/2/23,1680489120000,1680489840000,70320000,71040000,720000,"407 Parker Ave, Rodeo CA 94572, US",,3501  - 3501,38032702,-122266897,133089,
Sun 4/2/23,1680490140000,1680496980000,71340000,78180000,6780000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053775,-122241033,133091,
Sun 4/2/23,1680497340000,1680497880000,78540000,79080000,540000,"892 7th St, Rodeo CA 94572, US",,3501  - 3501,38028876,-122263371,133095,
Sun 4/2/23,1680500940000,1680501600000,82140000,82800000,600000,"331 Oak Ave, San Bruno CA 94066, US",,3501  - 3501,37617431,-122415743,133132,
Mon 4/3/23,1680228660000,1680533820000,69060000,28620000,305160000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053019,-122240091,119686,
Mon 4/3/23,1680479100000,1680534120000,60300000,28920000,55080000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053790,-122241047,75832,
Mon 4/3/23,1680534420000,1680535200000,29220000,30000000,840000,"386 Parker Ave, Rodeo CA 94572, US",,2802  - 2802,38033059,-122267122,75834,
Mon 4/3/23,1680535260000,1680538380000,30060000,33180000,3120000,"Wildcat Creek Regional Trl, Richmond CA 94801, US",,4402  - 4402,37961356,-122362901,119697,
Mon 4/3/23,1680536400000,1680538380000,31200000,33180000,2040000,"Wildcat Creek Regional Trl, Richmond CA 94801, US",,2802  - 2802,37961379,-122362736,75844,
Mon 4/3/23,1680503580000,1680540660000,84780000,35460000,37080000,"4059 Grand Ave, Oakland CA 94610, US",,3501  - 3501,37819069,-122244752,133157,
Mon 4/3/23,1680541860000,1680543120000,36660000,37920000,1320000,"Aladdin Ave, San Leandro CA 94577, US",,3501  - 3501,37706872,-122157889,133171,
Mon 4/3/23,1680542760000,1680543660000,37560000,38460000,900000,"Ikea Ct, West Sacramento CA 95605, US",,4402  - 4402,38588580,-121551135,119766,
Mon 4/3/23,1680542760000,1680543720000,37560000,38520000,900000,"Ikea Ct, West Sacramento CA 95605, US",,2802  - 2802,38588493,-121551333,75914,
Mon 4/3/23,1680301500000,1680545760000,55500000,40560000,244260000,"Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646599,-122401658,136692,
Mon 4/3/23,1680549120000,1680551580000,43920000,46380000,2520000,"21729 Donner Pass Rd, Soda Springs CA 95728, US",,4402  - 4402,39324230,-120384216,119858,
Mon 4/3/23,1680549120000,1680551580000,43920000,46380000,2520000,"Donner Pass Rd, Soda Springs CA 95728, US",,2802  - 2802,39324119,-120384175,76005,
Mon 4/3/23,1680554460000,1680556440000,49260000,51240000,1980000,"S Auburn St, Colfax CA 95713, US",,4402  - 4402,39094159,-120951934,119898,
Mon 4/3/23,1680554400000,1680556500000,49200000,51300000,2100000,"S Auburn St, Colfax CA 95713, US",,2802  - 2802,39094214,-120951727,76045,
Mon 4/3/23,1680551880000,1680558240000,46680000,53040000,6360000,"3034 Travis Blvd, Fairfield CA 94534, US",,4001  - 4001,38258505,-122066184,136756,
Mon 4/3/23,1680213540000,1680561960000,53940000,56760000,348420000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2302  - 2302,38053794,-122240985,287623,
Mon 4/3/23,1680560280000,1680564420000,55080000,59220000,4140000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4001  - 4001,38053038,-122240065,136778,
Tue 4/4/23,1680564000000,1680614520000,58800000,22920000,50520000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053193,-122240189,120007,
Tue 4/4/23,1680545340000,1680615360000,40140000,23760000,70020000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053813,-122241033,133203,
Tue 4/4/23,1680389580000,1680618660000,57180000,27060000,229140000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053008,-122240170,45106,
Tue 4/4/23,1680617100000,1680619320000,25500000,27720000,2220000,"2752 Buena Vista Ave, Alameda CA 94501, US",,4402  - 4402,37765061,-122234295,120033,
Tue 4/4/23,1680617520000,1680619380000,25920000,27780000,1860000,"2728 Buena Vista Ave, Alameda CA 94501, US",,3501  - 3501,37765166,-122234540,133229,
Tue 4/4/23,1680621780000,1680627240000,30180000,35640000,5460000,"Visitacion Valley Middle, 450 Raymond Avenue, San Francisco 94134-2354, US",957,3601  - 3601,37716187,-122414089,45137,
Tue 4/4/23,1680627660000,1680628260000,36060000,36660000,600000,"305 Coloma Rd, Placerville CA 95667, US",,3501  - 3501,38801832,-120892411,133361,
Tue 4/4/23,1680627600000,1680628320000,36000000,36720000,720000,"308 Back St, Placerville CA 95667, US",,4402  - 4402,38799960,-120891423,120165,
Tue 4/4/23,1680628860000,1680629580000,37260000,37980000,660000,"1610 The Embarcadero, San Francisco CA 94111, US",,3601  - 3601,37806529,-122405173,45146,
Tue 4/4/23,1680631500000,1680633420000,39900000,41820000,1860000,"1508 Grand Ave, Piedmont CA 94611, US",,3601  - 3601,37823196,-122243313,45159,
Tue 4/4/23,1680636480000,1680640080000,44880000,48480000,3660000,"Denman (James) Middle, 241 Oneida Avenue, San Francisco 94112-3228, US",954,3601  - 3601,37721978,-122441887,45180,
Tue 4/4/23,1680628560000,1680640380000,36960000,48780000,11820000,"259 Coloma Rd, Placerville CA 95667, US",,4402  - 4402,38804282,-120894661,120165,
Tue 4/4/23,1680628620000,1680640440000,37020000,48840000,11820000,"259 Coloma Rd, Placerville CA 95667, US",,3501  - 3501,38804319,-120894665,133362,
Tue 4/4/23,1680640140000,1680641100000,48540000,49500000,900000,"Balboa High, 1000 Cayuga Avenue, San Francisco 94112-3236, US",882,3601  - 3601,37721414,-122440263,45180,
