"Trip mode","Start time | End time","Departure | Arrival",Odometer,Distance,Driver,Vehicle,Purpose,Contact," "
Business,"04/30/23, 05:00 PM | 04/30/23, 05:59 PM","Departure: 261 Centennial Dr, Berkeley CA 94720, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","77,699.4 mi | 77,720.8 mi","21.4 mi",—,"2802  – 2802",—,—," "
Business,"04/30/23, 03:23 PM | 04/30/23, 04:11 PM","Departure: 1933 Stanton Ave, San Pablo CA 94806, US | Arrival: 261 Centennial Dr, Berkeley CA 94720, US","77,684.4 mi | 77,699.4 mi","15.0 mi",—,"2802  – 2802",—,—," "
Business,"04/30/23, 09:11 AM | 04/30/23, 10:07 AM","Departure: 261 Centennial Dr, Berkeley CA 94720, US | Arrival: 1966 Stanton Ave, San Pablo CA 94806, US","77,666.0 mi | 77,684.4 mi","18.4 mi",—,"2802  – 2802",—,—," "
Business,"04/30/23, 07:25 AM | 04/30/23, 08:31 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 261 Centennial Dr, Berkeley CA 94720, US","77,643.9 mi | 77,666.0 mi","22.1 mi",—,"2802  – 2802",—,—," "
Business,"04/29/23, 05:12 PM | 04/29/23, 07:10 PM","Departure: 411 San Bruno Ave, San Francisco CA 94110, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","122,603.4 mi | 122,674.5 mi","71.1 mi",—,"4402  – 4402",—,—," "
Business,"04/29/23, 04:23 PM | 04/29/23, 05:38 PM","Departure: Hearst Mining Cir, Berkeley CA 94720, US | Arrival: DHarris Tours – HQ, 2213 Vista del Rio St, Crockett CA 94525, US","288,371.0 mi | 288,394.0 mi","23.0 mi",—,"2302  – 2302",—,—," "
Business,"04/29/23, 01:16 PM | 04/29/23, 04:37 PM","Departure: 5 North Point St, San Francisco CA 94133, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","8,183.4 mi | 8,213.7 mi","30.3 mi",—,"3602 – 3602",—,—," "
Business,"04/29/23, 01:52 PM | 04/29/23, 04:09 PM","Departure: 48 Muir Woods Rd, Mill Valley CA 94941, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","47,809.7 mi | 47,873.3 mi","63.7 mi",—,"3601  – 3601",—,—," "
Business,"04/29/23, 02:58 PM | 04/29/23, 03:27 PM","Departure: 3017 Pullman Ave, Richmond CA 94804, US | Arrival: Hearst Mining Cir, Berkeley CA 94720, US","288,362.5 mi | 288,371.0 mi","8.5 mi",—,"2302  – 2302",—,—," "
Business,"04/29/23, 12:02 PM | 04/29/23, 02:31 PM","Departure: DHarris Tours – HQ, 2241 Vista del Rio St, Crockett CA 94525, US | Arrival: 414 San Bruno Ave, San Francisco CA 94110, US","122,533.0 mi | 122,603.4 mi","70.3 mi",—,"4402  – 4402",—,—," "
Business,"04/29/23, 12:09 PM | 04/29/23, 01:05 PM","Departure: 2983 Pinole Valley Rd, Pinole CA 94564, US | Arrival: 3016 Pullman Ave, Richmond CA 94804, US","288,340.0 mi | 288,362.5 mi","22.5 mi",—,"2302  – 2302",—,—," "
Business,"04/29/23, 11:34 AM | 04/29/23, 11:46 AM","Departure: 3014 Pullman Ave, Richmond CA 94804, US | Arrival: 2983 Pinole Valley Rd, Pinole CA 94564, US","288,331.7 mi | 288,340.0 mi","8.3 mi",—,"2302  – 2302",—,—," "
Business,"04/29/23, 08:07 AM | 04/29/23, 10:28 AM","Departure: Transit Ctr, Hercules CA 94547, US | Arrival: 46 Muir Woods Rd, Mill Valley CA 94941, US","47,749.3 mi | 47,809.7 mi","60.3 mi",—,"3601  – 3601",—,—," "
Business,"04/29/23, 09:33 AM | 04/29/23, 09:54 AM","Departure: 249 Turk St, San Francisco CA 94102, US | Arrival: 24 North Point St, San Francisco CA 94133, US","8,180.4 mi | 8,183.4 mi","3.0 mi",—,"3602 – 3602",—,—," "
Business,"04/29/23, 07:35 AM | 04/29/23, 09:05 AM","Departure: DHarris Tours – HQ, 2262 Vista del Rio St, Crockett CA 94525, US | Arrival: 3018 Pullman Ave, Richmond CA 94804, US","288,301.6 mi | 288,331.7 mi","30.1 mi",—,"2302  – 2302",—,—," "
Business,"04/29/23, 08:00 AM | 04/29/23, 08:40 AM","Departure: DHarris Tours – HQ, 2183 Vista del Rio St, Crockett CA 94525, US | Arrival: 242 Turk St, San Francisco CA 94102, US","8,153.9 mi | 8,180.4 mi","26.5 mi",—,"3602 – 3602",—,—," "
Business,"04/29/23, 07:38 AM | 04/29/23, 07:57 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: Transit Ctr, Hercules CA 94547, US","47,745.2 mi | 47,749.3 mi","4.1 mi",—,"3601  – 3601",—,—," "
Business,"04/28/23, 07:28 PM | 04/28/23, 08:58 PM","Departure: Academy of Arts and Sciences, 143 O'Shaughnessy Blvd, San Francisco CA 94127, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","47,710.1 mi | 47,745.2 mi","35.2 mi",—,"3601  – 3601",—,—," "
Business,"04/28/23, 06:06 PM | 04/28/23, 07:56 PM","Departure: Sierrawood Ave, Hayward CA 94544, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","13,084.5 mi | 13,133.4 mi","48.9 mi",—,"4403 – 4403",—,—," "
Business,"04/28/23, 03:20 PM | 04/28/23, 07:45 PM","Departure: Marina Blvd, San Francisco CA 94123, US | Arrival: DHarris Tours – HQ, San Pablo Ave, Crockett CA 94525, US","135,753.9 mi | 135,798.5 mi","44.6 mi",—,"3501  – 3501",—,—," "
Business,"04/28/23, 11:55 AM | 04/28/23, 05:29 PM","Departure: 1245 Appleton St, San Francisco CA 94129, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","8,101.6 mi | 8,153.9 mi","52.2 mi",—,"3602 – 3602",—,—," "
Business,"04/28/23, 03:43 PM | 04/28/23, 04:27 PM","Departure: 907 Mansell St, San Francisco CA 94134, US | Arrival: Academy of Arts and Sciences, 137 O'Shaughnessy Blvd, San Francisco CA 94127, US","47,705.5 mi | 47,710.1 mi","4.6 mi",—,"3601  – 3601",—,—," "
Business,"04/28/23, 01:19 PM | 04/28/23, 03:21 PM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 911 Mansell St, San Francisco CA 94134, US","47,663.0 mi | 47,705.5 mi","42.5 mi",—,"3601  – 3601",—,—," "
Business,"04/28/23, 02:32 PM | 04/28/23, 03:20 PM","Departure: 2164 Bancroft Ave, San Leandro CA 94577, US | Arrival: Sierrawood Ave, Hayward CA 94544, US","13,071.5 mi | 13,084.5 mi","13.0 mi",—,"4403 – 4403",—,—," "
