Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer,Driver
Sat 6/3/23,1685752380000,1685804640000,63180000,29040000,52200000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4403 - 4403,38053060,-122240162,13833,
Sat 6/3/23,1685755920000,1685807760000,66720000,32160000,51780000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053012,-122240170,51756,
Sat 6/3/23,1685807580000,1685811240000,31980000,35640000,3660000,"1364 14th Ave, San Francisco CA 94122, US",,4403 - 4403,37762606,-122471586,13864,
Sat 6/3/23,1685757540000,1685811360000,68340000,35760000,53820000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3602 - 3602,38053179,-122240193,11185,
Sat 6/3/23,1685810760000,1685811900000,35160000,36300000,1140000,"1564 Holloway Ave, San Francisco CA 94132, US",,3601  - 3601,37720828,-122476328,51791,
Sat 6/3/23,1685813640000,1685814240000,38040000,38640000,540000,"1298 Ocean Ave, San Francisco CA 94112, US",,3602 - 3602,37723960,-122456380,11216,
Sat 6/3/23,1685816400000,1685816820000,40800000,41220000,360000,"1536 The Embarcadero, San Francisco CA 94111, US",,3602 - 3602,37806352,-122404914,11226,
Sat 6/3/23,1685816040000,1685824800000,40440000,49200000,8820000,"Walnut Blvd, Brentwood CA 94513, US",,4403 - 4403,37880604,-121695967,13925,
Sat 6/3/23,1685818200000,1685826240000,42600000,50640000,8040000,"1759 Portola State Park Rd, La Honda CA 94020, US",,3601  - 3601,37269814,-122211193,51839,
Sat 6/3/23,1685817000000,1685828160000,41400000,52560000,11160000,"1418 The Embarcadero, San Francisco CA 94111, US",,3602 - 3602,37806021,-122404368,11226,
Sat 6/3/23,1685825520000,1685828760000,49920000,53160000,3240000,"Balfour Rd, Brentwood CA 94513, US",,4403 - 4403,37925128,-121694257,13928,
Sat 6/3/23,1685829840000,1685830440000,54240000,54840000,600000,"Brentwood CA 94513, US",,4403 - 4403,37899634,-121655328,13932,
Sat 6/3/23,1685830560000,1685832300000,54960000,56700000,1800000,"Brentwood CA 94513, US",,4403 - 4403,37899692,-121655227,13932,
Sat 6/3/23,1685838480000,1685839140000,62880000,63540000,660000,"1380 14th Ave, San Francisco CA 94122, US",,4403 - 4403,37762309,-122471324,13994,
Sun 6/4/23,1685756040000,1685887620000,66840000,25620000,131640000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38052019,-122240223,80725,
Sun 6/4/23,1685887620000,1685888880000,25620000,26880000,1200000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053640,-122240823,80725,
Sun 6/4/23,1685632320000,1685893680000,29520000,31680000,261300000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2503  - 2503,38052859,-122240237,12857,
Sun 6/4/23,1685891700000,1685895420000,29700000,33420000,3720000,"Marsh Creek Rd, Brentwood CA 94513, US",,2802  - 2802,37869246,-121749938,80766,
Sun 6/4/23,1685896200000,1685897160000,34200000,35160000,960000,"1671 Holloway Ave, San Francisco CA 94132, US",,2503  - 2503,37720809,-122478112,12891,
Sun 6/4/23,1685897220000,1685898900000,35220000,36900000,1680000,"1555 Holloway Ave, San Francisco CA 94132, US",,2503  - 2503,37720832,-122475560,12891,
Sun 6/4/23,1685896980000,1685907480000,34980000,45480000,10500000,"Byron CA 94514, US",,2802  - 2802,37805286,-121686806,80778,
Sun 6/4/23,1685903760000,1685912760000,41760000,50760000,9000000,"1759 Portola State Park Rd, La Honda CA 94020, US",,2503  - 2503,37269831,-122211246,12937,
Sun 6/4/23,1685922360000,1685937600000,60360000,75600000,15240000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2503  - 2503,38053505,-122240574,13016,
Sun 6/4/23,1685753100000,1685937720000,63900000,75720000,184620000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053068,-122240106,126688,
Mon 6/5/23,1685747640000,1685975760000,58440000,27360000,228180000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053498,-122240620,139334,
Mon 6/5/23,1685836440000,1685976420000,60840000,28020000,139980000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053065,-122240165,51919,
Mon 6/5/23,1685940240000,1685977380000,78240000,28980000,37080000,"22121 Arbor Ave, Hayward CA 94541, US",,4402  - 4402,37666759,-122107018,126724,
Mon 6/5/23,1685939160000,1685977560000,77160000,29160000,38340000,"4065 Grand Ave, Oakland CA 94610, US",,2503  - 2503,37819083,-122244772,13038,
Mon 6/5/23,1685752380000,1685977740000,63180000,29340000,225300000,"Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646634,-122401625,141151,
Mon 6/5/23,1685753820000,1685977740000,64620000,29340000,223920000,"Utah Ave, South San Francisco CA 94080, US",,2302  - 2302,37646642,-122401779,289719,
Mon 6/5/23,1685834400000,1685980860000,58800000,32460000,146520000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3602 - 3602,38053118,-122240272,11268,
Mon 6/5/23,1685978880000,1685981580000,30480000,33180000,2700000,"2164 Bancroft Ave, San Leandro CA 94577, US",,3501  - 3501,37718018,-122143669,139366,
Mon 6/5/23,1685978340000,1685981580000,29940000,33180000,3240000,"2158 Bancroft Ave, San Leandro CA 94577, US",,4402  - 4402,37718073,-122143774,126729,
Mon 6/5/23,1685979240000,1685981640000,30840000,33240000,2340000,"2188 Bancroft Ave, San Leandro CA 94577, US",,2503  - 2503,37717693,-122143287,13053,
Mon 6/5/23,1685979600000,1685981640000,31200000,33240000,2040000,"2168 Bancroft Ave, San Leandro CA 94577, US",,3601  - 3601,37717962,-122143598,51952,
Mon 6/5/23,1685981100000,1685981880000,32700000,33480000,720000,"2180 Bancroft Ave, San Leandro CA 94577, US",,2302  - 2302,37717793,-122143410,289754,
Mon 6/5/23,1685983500000,1685985960000,35100000,37560000,2460000,"14776 Juniper St, San Leandro CA 94579, US",,3602 - 3602,37695323,-122160365,11302,
Mon 6/5/23,1685982300000,1685986620000,33900000,38220000,4320000,"Monterey Blvd, San Leandro CA 94578, US",,2302  - 2302,37699222,-122146730,289757,
Mon 6/5/23,1685981940000,1685987640000,33540000,39240000,5700000,"216 Dowling Blvd, San Leandro CA 94577, US",,2503  - 2503,37732454,-122156900,13055,
Mon 6/5/23,1685982060000,1685987700000,33660000,39300000,5640000,"1302 Williams St, San Leandro CA 94577, US",,4402  - 4402,37715039,-122166120,126730,
Mon 6/5/23,1685982060000,1685988420000,33660000,40020000,6360000,"941 Dowling Blvd, San Leandro CA 94577, US",,3601  - 3601,37736379,-122146792,51954,
Mon 6/5/23,1685983020000,1685989140000,34620000,40740000,6180000,"13051 Aurora Dr, San Leandro CA 94577, US",,3501  - 3501,37704230,-122186212,139371,
Mon 6/5/23,1685989440000,1685993280000,41040000,44880000,3840000,"1298 Grand Ave, Piedmont CA 94610, US",,2503  - 2503,37820312,-122244168,13068,
Tue 6/6/23,1685755920000,1686058860000,66720000,24060000,303000000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38053226,-122240172,389047,
Tue 6/6/23,1685992140000,1686061560000,43740000,26760000,69420000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053088,-122240141,139407,
Tue 6/6/23,1686062220000,1686064380000,27420000,29580000,2160000,"Marshall Elementary, 1575 15th Street, San Francisco 94103-3639, US",932,3801  - 3801,37767795,-122421185,389075,
Tue 6/6/23,1686064440000,1686066360000,29640000,31560000,1920000,"Marshall Elementary, 1575 15th Street, San Francisco 94103-3639, US",932,3801  - 3801,37766658,-122421338,389075,
Tue 6/6/23,1686065520000,1686067200000,30720000,32400000,1680000,"3720 Monterey Blvd, San Leandro CA 94578, US",,3501  - 3501,37698795,-122146632,139440,
Tue 6/6/23,1686068580000,1686076440000,33780000,41640000,7860000,"4861 Breakwater Ave, Hayward CA 94545, US",,3501  - 3501,37623027,-122137405,139449,
Tue 6/6/23,1686076620000,1686081420000,41820000,46620000,4800000,"4839 Breakwater Ave, Hayward CA 94545, US",,3501  - 3501,37623098,-122137154,139449,
Tue 6/6/23,1686068940000,1686089520000,34140000,54720000,20580000,"2515 Bancroft Way, Berkeley CA 94720, US",,3801  - 3801,37868853,-122258819,389090,
Tue 6/6/23,1685990100000,1686094440000,41700000,59640000,104340000,"Utah Ave, South San Francisco CA 94080, US",,2302  - 2302,37646595,-122401760,289791,
Tue 6/6/23,1685990760000,1686110880000,42360000,76080000,120120000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053092,-122240125,126765,
Wed 6/7/23,1686113400000,1686146280000,78600000,25080000,32880000,"22111 Arbor Ave, Hayward CA 94541, US",,4402  - 4402,37666792,-122107040,126801,
Wed 6/7/23,1686100560000,1686152100000,65760000,30900000,51540000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2302  - 2302,38053771,-122241033,289828,
Wed 6/7/23,1686148560000,1686153300000,27360000,32100000,4740000,"Marshall Elementary, 1575 15th Street, San Francisco 94103-3639, US",932,4402  - 4402,37768058,-122421182,126826,
Wed 6/7/23,1686154620000,1686158460000,33420000,37260000,3840000,"449 29th St, Oakland CA 94609, US",,2302  - 2302,37817608,-122265779,289848,
Wed 6/7/23,1686157680000,1686159420000,36480000,38220000,1740000,"534 Alumni Ln, Davis CA 95616, US",,4402  - 4402,38534737,-121747649,126899,
Wed 6/7/23,1686160560000,1686169320000,39360000,48120000,8760000,"63 Fishermans Wharf, San Francisco CA 94133, US",,2302  - 2302,37810379,-122417771,289860,
Wed 6/7/23,1686159840000,1686175980000,38640000,54780000,16140000,"Garrod Dr, Davis CA 95616, US",,4402  - 4402,38532918,-121759979,126900,
Wed 6/7/23,1686176340000,1686179760000,55140000,58560000,3420000,"238 1st St, Davis CA 95616, US",,4402  - 4402,38541105,-121745027,126901,
Wed 6/7/23,1686180060000,1686180660000,58860000,59460000,600000,"4 Howard Way, Davis CA 95616, US",,4402  - 4402,38544223,-121750209,126902,
Wed 6/7/23,1686186960000,1686187380000,65760000,66180000,360000,"Five Keys Independence HS (SF Sheriff's), 70 Oak Grove Street, San Francisco 94107-1019, US",868,4402  - 4402,37775958,-122402765,126978,
Wed 6/7/23,1686187380000,1686188160000,66180000,66960000,780000,"Five Keys Independence HS (SF Sheriff's), 70 Oak Grove Street, San Francisco 94107-1019, US",868,4402  - 4402,37776615,-122401925,126978,
Wed 6/7/23,1686190260000,1686190980000,69060000,69780000,720000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053020,-122240123,127004,
Thu 6/8/23,1685991540000,1686236160000,43140000,28560000,244620000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053034,-122240235,51989,
Thu 6/8/23,1686239760000,1686241380000,32160000,33780000,1560000,"58 Capp St, San Francisco CA 94110, US",,3601  - 3601,37763953,-122418604,52017,
Thu 6/8/23,1686085140000,1686241740000,50340000,34140000,156660000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053105,-122240144,139492,
Thu 6/8/23,1686242580000,1686242880000,34980000,35280000,360000,"1546 Holloway Ave, San Francisco CA 94132, US",,3601  - 3601,37720885,-122475979,52023,
Thu 6/8/23,1686092940000,1686243120000,58140000,35520000,150180000,"159 Utah Ave, South San Francisco CA 94080, US",,3801  - 3801,37646346,-122401391,389116,
Thu 6/8/23,1685844120000,1686244860000,68520000,37260000,400740000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4403 - 4403,38053050,-122240114,14041,
Thu 6/8/23,1686191100000,1686247260000,69900000,39660000,56160000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053511,-122240650,127004,
Thu 6/8/23,1686244860000,1686248520000,37260000,40920000,3600000,"4728 Dunkirk Ave, Oakland CA 94605, US",,3501  - 3501,37753048,-122125681,139523,
Thu 6/8/23,1686247260000,1686248580000,39660000,40980000,1320000,"10864 Golf Links Rd, Oakland CA 94605, US",,4403 - 4403,37752924,-122126233,14072,
