"Trip mode","Start time | End time","Departure | Arrival",Odometer,Distance,Driver,Vehicle,Purpose,Contact," "
Business,"04/30/22, 09:26 PM | 04/30/22, 11:32 PM","Departure: G St, Sacramento CA 95814, US | Arrival: DHarris Tours – HQ, 2213 Vista del Rio St, Crockett CA 94525, US","2,058.1 mi | 2,123.5 mi","65.4 mi",—,"2302  – 2302",—,—," "
Business,"04/30/22, 06:45 PM | 04/30/22, 07:42 PM","Departure: 639 9th St, Sacramento CA 95814, US | Arrival: G St, Sacramento CA 95814, US","2,045.4 mi | 2,058.1 mi","12.8 mi",—,"2302  – 2302",—,—," "
Business,"04/30/22, 05:18 PM | 04/30/22, 06:44 PM","Departure: 1821 Shoreline Hwy, Muir Beach CA 94965, US | Arrival: Utah Ave, South San Francisco CA 94080, US","1,700.5 mi | 1,728.9 mi","28.4 mi",—,"3602 – 3602",—,—," "
Business,"04/30/22, 09:52 AM | 04/30/22, 06:25 PM","Departure: Shoreline Hwy, Mill Valley CA 94941, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","1,839.8 mi | 1,935.2 mi","95.3 mi",—,"2503  – 2503",—,—," "
Business,"04/30/22, 04:52 PM | 04/30/22, 06:09 PM","Departure: 2312 14th Ave, San Francisco CA 94116, US | Arrival: DHarris Tours – HQ, 2221 Vista del Rio St, Crockett CA 94525, US","6,161.9 mi | 6,198.8 mi","36.9 mi",—,"2802  – 2802",—,—," "
Business,"04/30/22, 04:51 PM | 04/30/22, 06:06 PM","Departure: 2302 14th Ave, San Francisco CA 94116, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","3,996.8 mi | 4,033.5 mi","36.6 mi",—,"3501  – 3501",—,—," "
Business,"04/30/22, 04:14 PM | 04/30/22, 05:44 PM","Departure: 261 Centennial Dr, Berkeley CA 94720, US | Arrival: DHarris Tours – HQ, 2227 Vista del Rio St, Crockett CA 94525, US","4,950.2 mi | 4,972.7 mi","22.4 mi",—,"3801  – 3801",—,—," "
Business,"04/30/22, 09:54 AM | 04/30/22, 04:59 PM","Departure: Shoreline Hwy, Mill Valley CA 94941, US | Arrival: Muir Beach Overlook, Sausalito CA 94965, US","1,638.9 mi | 1,699.6 mi","60.6 mi",—,"3602 – 3602",—,—," "
Business,"04/30/22, 03:22 PM | 04/30/22, 04:38 PM","Departure: Princess Anne Dr, San Jose CA 95128, US | Arrival: 2310 14th Ave, San Francisco CA 94116, US","6,112.2 mi | 6,161.9 mi","49.6 mi",—,"2802  – 2802",—,—," "
Business,"04/30/22, 03:21 PM | 04/30/22, 04:37 PM","Departure: Princess Anne Dr, San Jose CA 95128, US | Arrival: 2302 14th Ave, San Francisco CA 94116, US","3,947.2 mi | 3,996.8 mi","49.6 mi",—,"3501  – 3501",—,—," "
Business,"04/30/22, 03:06 PM | 04/30/22, 03:31 PM","Departure: 608 9th St, Sacramento CA 95814, US | Arrival: 630 9th St, Sacramento CA 95814, US","2,041.2 mi | 2,045.4 mi","4.2 mi",—,"2302  – 2302",—,—," "
Business,"04/30/22, 01:10 PM | 04/30/22, 02:39 PM","Departure: 193 Lone Oak Rd, Berkeley CA 94708, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","3,565.8 mi | 3,598.6 mi","32.8 mi",—,"3601  – 3601",—,—," "
Business,"04/30/22, 11:06 AM | 04/30/22, 02:36 PM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","5,251.9 mi | 5,309.2 mi","57.3 mi",—,"4402  – 4402",—,—," "
Business,"04/30/22, 01:24 PM | 04/30/22, 01:58 PM","Departure: 610 9th St, Sacramento CA 95814, US | Arrival: 610 9th St, Sacramento CA 95814, US","2,033.7 mi | 2,041.2 mi","7.5 mi",—,"2302  – 2302",—,—," "
Business,"04/30/22, 12:34 PM | 04/30/22, 01:46 PM","Departure: 848 Cherry Ave, San Bruno CA 94066, US | Arrival: 261 Centennial Dr, Berkeley CA 94720, US","4,919.5 mi | 4,950.2 mi","30.8 mi",—,"3801  – 3801",—,—," "
Business,"04/30/22, 12:35 PM | 04/30/22, 12:58 PM","Departure: 178 Lone Oak Rd, Berkeley CA 94708, US | Arrival: 192 Lone Oak Rd, Berkeley CA 94708, US","3,563.2 mi | 3,565.8 mi","2.6 mi",—,"3601  – 3601",—,—," "
Business,"04/30/22, 12:35 PM | 04/30/22, 12:53 PM","Departure: 851 Cherry Ave, San Bruno CA 94066, US | Arrival: Utah Ave, South San Francisco CA 94080, US","737.2 mi | 740.7 mi","3.6 mi",—,"4001  – 4001",—,—," "
Business,"04/30/22, 12:24 PM | 04/30/22, 12:43 PM","Departure: 608 9th St, Sacramento CA 95814, US | Arrival: 610 9th St, Sacramento CA 95814, US","2,029.5 mi | 2,033.7 mi","4.2 mi",—,"2302  – 2302",—,—," "
Business,"04/30/22, 11:35 AM | 04/30/22, 12:23 PM","Departure: DHarris Tours – HQ, San Pablo Ave, Crockett CA 94525, US | Arrival: 178 Lone Oak Rd, Berkeley CA 94708, US","3,542.8 mi | 3,563.2 mi","20.4 mi",—,"3601  – 3601",—,—," "
Business,"04/30/22, 06:52 AM | 04/30/22, 12:07 PM","Departure: DHarris Tours – HQ, 2213 Vista del Rio St, Crockett CA 94525, US | Arrival: 848 Cherry Ave, San Bruno CA 94066, US","4,777.1 mi | 4,919.5 mi","142.3 mi",—,"3801  – 3801",—,—," "
Business,"04/30/22, 11:15 AM | 04/30/22, 12:06 PM","Departure: 21415 Big Basin Way, Saratoga CA 95070, US | Arrival: 850 Cherry Ave, San Bruno CA 94066, US","697.9 mi | 737.2 mi","39.3 mi",—,"4001  – 4001",—,—," "
Business,"04/30/22, 09:46 AM | 04/30/22, 11:25 AM","Departure: DHarris Tours – HQ, 2221 Vista del Rio St, Crockett CA 94525, US | Arrival: 610 9th St, Sacramento CA 95814, US","1,968.6 mi | 2,029.5 mi","60.8 mi",—,"2302  – 2302",—,—," "
Business,"04/30/22, 10:35 AM | 04/30/22, 10:56 AM","Departure: Sanborn Skyline County Park, Saratoga CA 95070, US | Arrival: 21415 Big Basin Way, Saratoga CA 95070, US","695.2 mi | 697.9 mi","2.7 mi",—,"4001  – 4001",—,—," "
Business,"04/30/22, 09:01 AM | 04/30/22, 10:24 AM","Departure: 1943 O'Farrell St, San Francisco CA 94115, US | Arrival: Sanborn Skyline County Park, Saratoga CA 95070, US","638.6 mi | 695.2 mi","56.6 mi",—,"4001  – 4001",—,—," "
Business,"04/30/22, 08:45 AM | 04/30/22, 09:51 AM","Departure: 2302 14th Ave, San Francisco CA 94116, US | Arrival: Princess Anne Dr, San Jose CA 95128, US","3,897.8 mi | 3,947.2 mi","49.5 mi",—,"3501  – 3501",—,—," "
Business,"04/30/22, 08:37 AM | 04/30/22, 09:50 AM","Departure: 2312 14th Ave, San Francisco CA 94116, US | Arrival: Princess Anne Dr, San Jose CA 95128, US","6,062.8 mi | 6,112.2 mi","49.4 mi",—,"2802  – 2802",—,—," "
Business,"04/30/22, 07:05 AM | 04/30/22, 08:34 AM","Departure: Utah Ave, South San Francisco CA 94080, US | Arrival: 1937 O'Farrell St, San Francisco CA 94115, US","625.6 mi | 638.6 mi","13.0 mi",—,"4001  – 4001",—,—," "
Business,"04/30/22, 07:46 AM | 04/30/22, 08:06 AM","Departure: 284 Shoreline Hwy, Mill Valley CA 94941, US | Arrival: Muir Beach Overlook, Sausalito CA 94965, US","1,631.3 mi | 1,637.8 mi","6.5 mi",—,"3602 – 3602",—,—," "
Business,"04/30/22, 06:42 AM | 04/30/22, 07:48 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 2310 14th Ave, San Francisco CA 94116, US","6,029.0 mi | 6,062.8 mi","33.8 mi",—,"2802  – 2802",—,—," "
Business,"04/30/22, 06:26 AM | 04/30/22, 07:39 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 2302 14th Ave, San Francisco CA 94116, US","3,861.9 mi | 3,897.8 mi","35.9 mi",—,"3501  – 3501",—,—," "
Business,"04/30/22, 06:43 AM | 04/30/22, 07:18 AM","Departure: DHarris Tours – HQ, 2283 Vista del Rio St, Crockett CA 94525, US | Arrival: 206 Flamingo Rd, Mill Valley CA 94941, US","1,805.3 mi | 1,832.3 mi","26.9 mi",—,"2503  – 2503",—,—," "
Business,"04/30/22, 05:55 AM | 04/30/22, 07:17 AM","Departure: Utah Ave, South San Francisco CA 94080, US | Arrival: 285 Shoreline Hwy, Mill Valley CA 94941, US","1,602.4 mi | 1,631.3 mi","28.9 mi",—,"3602 – 3602",—,—," "
Business,"04/29/22, 05:52 PM | 04/29/22, 07:13 PM","Departure: Grant Ave, San Lorenzo CA 94580, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","1,770.1 mi | 1,805.3 mi","35.3 mi",—,"2503  – 2503",—,—," "
Business,"04/29/22, 05:36 PM | 04/29/22, 07:10 PM","Departure: 2274 Milvia St, Berkeley CA 94704, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","5,202.3 mi | 5,251.9 mi","49.6 mi",—,"4402  – 4402",—,—," "
Business,"04/29/22, 04:42 PM | 04/29/22, 06:58 PM","Departure: DHarris Tours – HQ, 2219 Vista del Rio St, Crockett CA 94525, US | Arrival: DHarris Tours – HQ, 2219 Vista del Rio St, Crockett CA 94525, US","1,899.1 mi | 1,968.6 mi","69.5 mi",—,"2302  – 2302",—,—," "
Business,"04/29/22, 03:17 PM | 04/29/22, 05:54 PM","Departure: 318 Dolores St, San Francisco CA 94114, US | Arrival: DHarris Tours – HQ, 2217 Vista del Rio St, Crockett CA 94525, US","4,743.7 mi | 4,777.1 mi","33.5 mi",—,"3801  – 3801",—,—," "
Business,"04/29/22, 04:43 PM | 04/29/22, 05:47 PM","Departure: Golden Rain Rd, Walnut Creek CA 94595, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","6,003.8 mi | 6,029.0 mi","25.2 mi",—,"2802  – 2802",—,—," "
Business,"04/29/22, 02:38 PM | 04/29/22, 04:31 PM","Departure: 26 W Napa St, Sonoma CA 95476, US | Arrival: Golden Rain Rd, Walnut Creek CA 94595, US","5,952.1 mi | 6,003.8 mi","51.7 mi",—,"2802  – 2802",—,—," "
Business,"04/29/22, 04:27 PM | 04/29/22, 04:31 PM","Departure: Hesperian Blvd, San Leandro CA 94579, US | Arrival: Grant Ave, San Lorenzo CA 94580, US","1,768.9 mi | 1,770.1 mi","1.2 mi",—,"2503  – 2503",—,—," "
Business,"04/29/22, 02:58 PM | 04/29/22, 04:27 PM","Departure: Utah Ave, South San Francisco CA 94080, US | Arrival: Utah Ave, South San Francisco CA 94080, US","1,583.4 mi | 1,602.4 mi","19.0 mi",—,"3602 – 3602",—,—," "
Business,"04/29/22, 03:29 PM | 04/29/22, 03:36 PM","Departure: 1959 Allston Way, Berkeley CA 94704, US | Arrival: 2272 Milvia St, Berkeley CA 94704, US","5,202.1 mi | 5,202.3 mi","318 yd",—,"4402  – 4402",—,—," "
Business,"04/29/22, 03:13 PM | 04/29/22, 03:16 PM","Departure: 2274 Milvia St, Berkeley CA 94704, US | Arrival: 1970 Allston Way, Berkeley CA 94704, US","5,201.6 mi | 5,202.1 mi","947 yd",—,"4402  – 4402",—,—," "
Business,"04/29/22, 03:08 PM | 04/29/22, 03:16 PM","Departure: 24, Hercules CA 94547, US | Arrival: DHarris Tours – HQ, 2219 Vista del Rio St, Crockett CA 94525, US","1,896.1 mi | 1,899.1 mi","3.1 mi",—,"2302  – 2302",—,—," "
Business,"04/29/22, 01:13 PM | 04/29/22, 03:14 PM","Departure: DHarris Tours – HQ, San Pablo Ave, Crockett CA 94525, US | Arrival: Hesperian Blvd, San Leandro CA 94579, US","1,729.9 mi | 1,768.9 mi","39.1 mi",—,"2503  – 2503",—,—," "
Business,"04/29/22, 02:32 PM | 04/29/22, 03:02 PM","Departure: 913 Heartwood Ave, Vallejo CA 94591, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","3,853.8 mi | 3,861.9 mi","8.0 mi",—,"3501  – 3501",—,—," "
Business,"04/29/22, 02:05 PM | 04/29/22, 02:57 PM","Departure: 219 Las Juntas Way, Walnut Creek CA 94597, US | Arrival: 24, Hercules CA 94547, US","1,864.3 mi | 1,896.1 mi","31.8 mi",—,"2302  – 2302",—,—," "
Business,"04/29/22, 01:16 PM | 04/29/22, 02:53 PM","Departure: 50 Muir Woods Rd, Mill Valley CA 94941, US | Arrival: 316 Dolores St, San Francisco CA 94114, US","4,720.3 mi | 4,743.7 mi","23.4 mi",—,"3801  – 3801",—,—," "
Business,"04/29/22, 02:14 PM | 04/29/22, 02:51 PM","Departure: 2166 Bancroft Ave, San Leandro CA 94577, US | Arrival: 2273 Milvia St, Berkeley CA 94704, US","5,186.0 mi | 5,201.6 mi","15.6 mi",—,"4402  – 4402",—,—," "
Business,"04/29/22, 01:58 PM | 04/29/22, 02:22 PM","Departure: DHarris Tours – HQ, 2217 Vista del Rio St, Crockett CA 94525, US | Arrival: 913 Heartwood Ave, Vallejo CA 94591, US","3,847.0 mi | 3,853.8 mi","6.8 mi",—,"3501  – 3501",—,—," "
Business,"04/29/22, 01:09 PM | 04/29/22, 01:59 PM","Departure: 162 Lone Oak Rd, Berkeley CA 94708, US | Arrival: 2166 Bancroft Ave, San Leandro CA 94577, US","5,164.0 mi | 5,186.0 mi","22.0 mi",—,"4402  – 4402",—,—," "
Business,"04/29/22, 11:56 AM | 04/29/22, 01:54 PM","Departure: 1298 Excelsior Ave, Oakland CA 94602, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","3,511.1 mi | 3,542.8 mi","31.7 mi",—,"3601  – 3601",—,—," "
Business,"04/29/22, 12:55 PM | 04/29/22, 01:15 PM","Departure: 2990 Cherry Ln, Walnut Creek CA 94597, US | Arrival: 217 Las Juntas Way, Walnut Creek CA 94597, US","1,864.0 mi | 1,864.3 mi","539 yd",—,"2302  – 2302",—,—," "
Business,"04/29/22, 12:06 PM | 04/29/22, 12:56 PM","Departure: 1294 Excelsior Ave, Oakland CA 94602, US | Arrival: 168 Lone Oak Rd, Berkeley CA 94708, US","5,151.1 mi | 5,164.0 mi","12.9 mi",—,"4402  – 4402",—,—," "
Business,"04/29/22, 12:06 PM | 04/29/22, 12:15 PM","Departure: Buskirk Ave, Pleasant Hill CA 94523, US | Arrival: 2991 Cherry Ln, Walnut Creek CA 94597, US","1,863.2 mi | 1,864.0 mi","0.8 mi",—,"2302  – 2302",—,—," "
Business,"04/29/22, 11:19 AM | 04/29/22, 11:40 AM","Departure: 616 W Essex Dr, Alameda CA 94501, US | Arrival: 1298 Excelsior Ave, Oakland CA 94602, US","3,502.6 mi | 3,511.1 mi","8.5 mi",—,"3601  – 3601",—,—," "
Business,"04/29/22, 10:51 AM | 04/29/22, 10:57 AM","Departure: 1273 Chatham Rd, Oakland CA 94610, US | Arrival: 1309 Excelsior Ave, Oakland CA 94602, US","5,150.3 mi | 5,151.1 mi","0.8 mi",—,"4402  – 4402",—,—," "
Business,"04/29/22, 09:29 AM | 04/29/22, 10:11 AM","Departure: 2032 Dover Ave, San Pablo CA 94806, US | Arrival: 614 W Essex Dr, Alameda CA 94501, US","3,484.7 mi | 3,502.6 mi","17.8 mi",—,"3601  – 3601",—,—," "
Business,"04/29/22, 08:58 AM | 04/29/22, 10:08 AM","Departure: Golden Rain Rd, Walnut Creek CA 94595, US | Arrival: 47 The Plaza, Sonoma CA 95476, US","5,903.1 mi | 5,952.1 mi","49.0 mi",—,"2802  – 2802",—,—," "
Business,"04/29/22, 09:46 AM | 04/29/22, 10:03 AM","Departure: 1620 Lacassie Ave, Walnut Creek CA 94596, US | Arrival: Buskirk Ave, Pleasant Hill CA 94523, US","1,859.8 mi | 1,863.2 mi","3.4 mi",—,"2302  – 2302",—,—," "
Business,"04/29/22, 08:46 AM | 04/29/22, 09:53 AM","Departure: 2520 Harrison St, San Francisco CA 94110, US | Arrival: 46 Muir Woods Rd, Mill Valley CA 94941, US","4,702.2 mi | 4,720.3 mi","18.1 mi",—,"3801  – 3801",—,—," "
Business,"04/29/22, 08:37 AM | 04/29/22, 09:22 AM","Departure: 25111 Hesperian Blvd, Hayward CA 94545, US | Arrival: 1273 Chatham Rd, Oakland CA 94610, US","5,131.6 mi | 5,150.3 mi","18.6 mi",—,"4402  – 4402",—,—," "
Business,"04/29/22, 08:59 AM | 04/29/22, 09:17 AM","Departure: 832 Rose Dr, Benicia CA 94510, US | Arrival: DHarris Tours – HQ, San Pablo Ave, Crockett CA 94525, US","3,839.3 mi | 3,847.0 mi","7.8 mi",—,"3501  – 3501",—,—," "
Business,"04/29/22, 08:14 AM | 04/29/22, 09:17 AM","Departure: 400 D St, Martinez CA 94553, US | Arrival: 1594 Lacassie Ave, Walnut Creek CA 94596, US","1,844.5 mi | 1,859.8 mi","15.3 mi",—,"2302  – 2302",—,—," "
Business,"04/29/22, 07:34 AM | 04/29/22, 08:46 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 832 Rose Dr, Benicia CA 94510, US","3,828.6 mi | 3,839.3 mi","10.7 mi",—,"3501  – 3501",—,—," "
Business,"04/29/22, 08:03 AM | 04/29/22, 08:38 AM","Departure: DHarris Tours – HQ, 2221 Vista del Rio St, Crockett CA 94525, US | Arrival: 2032 Dover Ave, San Pablo CA 94806, US","3,473.0 mi | 3,484.7 mi","11.7 mi",—,"3601  – 3601",—,—," "
Business,"04/29/22, 07:10 AM | 04/29/22, 08:34 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 2524 Harrison St, San Francisco CA 94110, US","4,672.6 mi | 4,702.2 mi","29.6 mi",—,"3801  – 3801",—,—," "
Business,"04/29/22, 07:16 AM | 04/29/22, 08:15 AM","Departure: 401 Parker Ave, Rodeo CA 94572, US | Arrival: Golden Rain Rd, Walnut Creek CA 94595, US","5,878.3 mi | 5,903.1 mi","24.7 mi",—,"2802  – 2802",—,—," "
Business,"04/29/22, 07:37 AM | 04/29/22, 08:04 AM","Departure: 2166 Bancroft Ave, San Leandro CA 94577, US | Arrival: 25111 Hesperian Blvd, Hayward CA 94545, US","5,121.2 mi | 5,131.6 mi","10.4 mi",—,"4402  – 4402",—,—," "
Business,"04/29/22, 07:08 AM | 04/29/22, 07:46 AM","Departure: DHarris Tours – HQ, 2221 Vista del Rio St, Crockett CA 94525, US | Arrival: 402 D St, Martinez CA 94553, US","1,830.3 mi | 1,844.5 mi","14.2 mi",—,"2302  – 2302",—,—," "
Business,"04/29/22, 06:50 AM | 04/29/22, 07:03 AM","Departure: DHarris Tours – HQ, 2217 Vista del Rio St, Crockett CA 94525, US | Arrival: 401 Parker Ave, Rodeo CA 94572, US","5,875.8 mi | 5,878.3 mi","2.6 mi",—,"2802  – 2802",—,—," "
Business,"04/29/22, 05:56 AM | 04/29/22, 06:56 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 2166 Bancroft Ave, San Leandro CA 94577, US","5,088.7 mi | 5,121.2 mi","32.6 mi",—,"4402  – 4402",—,—," "
Business,"04/28/22, 06:58 PM | 04/28/22, 08:10 PM","Departure: 737 Moscow St, San Francisco CA 94112, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","1,695.8 mi | 1,729.9 mi","34.1 mi",—,"2503  – 2503",—,—," "
