"Trip mode","Start time | End time","Departure | Arrival",Odometer,Distance,Driver,Vehicle,Purpose,Contact," "
Business,"01/31/22, 09:16 PM | 01/31/22, 10:26 PM","Departure: 1078 Lafayette St, Alameda CA 94501, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","411.2 mi | 453.6 mi","42.4 mi",—,"4402  – 4402",—,—," "
Business,"01/31/22, 04:35 PM | 01/31/22, 05:11 PM","Departure: 2168 Bancroft Ave, San Leandro CA 94577, US | Arrival: 1087 Lafayette St, Alameda CA 94501, US","401.5 mi | 411.2 mi","9.7 mi",—,"4402  – 4402",—,—," "
Business,"01/31/22, 02:17 PM | 01/31/22, 03:30 PM","Departure: 2168 Bancroft Ave, San Leandro CA 94577, US | Arrival: 2166 Bancroft Ave, San Leandro CA 94577, US","381.7 mi | 401.5 mi","19.8 mi",—,"4402  – 4402",—,—," "
Business,"01/31/22, 01:07 PM | 01/31/22, 01:38 PM","Departure: Couch St, Vallejo CA 94590, US | Arrival: DHarris Tours – HQ, 69 San Pablo Ave, Crockett CA 94525, US","141.4 mi | 147.7 mi","6.3 mi",—,"2302  – 2302",—,—," "
Business,"01/31/22, 12:39 PM | 01/31/22, 01:22 PM","Departure: 669 4th St, Rodeo CA 94572, US | Arrival: 2168 Bancroft Ave, San Leandro CA 94577, US","351.8 mi | 381.7 mi","30.0 mi",—,"4402  – 4402",—,—," "
Business,"01/31/22, 12:27 PM | 01/31/22, 12:57 PM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: Couch St, Vallejo CA 94590, US","134.7 mi | 141.4 mi","6.8 mi",—,"2302  – 2302",—,—," "
Business,"01/31/22, 12:03 PM | 01/31/22, 12:23 PM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 401 Parker Ave, Rodeo CA 94572, US","349.1 mi | 351.8 mi","2.6 mi",—,"4402  – 4402",—,—," "
Business,"01/31/22, 09:09 AM | 01/31/22, 09:39 AM","Departure: DHarris Tours – HQ, 69 San Pablo Ave, Crockett CA 94525, US | Arrival: DHarris Tours – HQ, 69 San Pablo Ave, Crockett CA 94525, US","134.5 mi | 134.6 mi","154 yd",—,"2302  – 2302",—,—," "
Business,"01/29/22, 10:41 AM | 01/29/22, 11:01 AM","Departure: 1442 Hillside Blvd, Colma CA 94014, US | Arrival: Utah Ave, South San Francisco CA 94080, US","221.0 mi | 226.7 mi","5.7 mi",—,"3602 – 3602",—,—," "
Business,"01/29/22, 09:37 AM | 01/29/22, 10:30 AM","Departure: 693 Marina Blvd, South San Francisco CA 94080, US | Arrival: 1442 Hillside Blvd, Colma CA 94014, US","208.3 mi | 221.0 mi","12.7 mi",—,"3602 – 3602",—,—," "
Business,"01/29/22, 08:01 AM | 01/29/22, 09:23 AM","Departure: 157 Utah Ave, South San Francisco CA 94080, US | Arrival: 698 Marina Blvd, South San Francisco CA 94080, US","198.1 mi | 208.3 mi","10.2 mi",—,"3602 – 3602",—,—," "
Business,"01/28/22, 08:24 PM | 01/28/22, 10:21 PM","Departure: 2248 Central Ave, Alameda CA 94501, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","287.7 mi | 349.2 mi","61.5 mi",—,"4402  – 4402",—,—," "
