Driver,Date,Start time,End time,Vehicle,Usage Time,Duration,Driving time,Standstill,Start odometer,End odometer,Distance,Start location,End location
Unknown,1682924400000,26867000,72730000,"2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402",0,89580000,62640000,26940000,122674,122826,672.9,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","22109 Arbor Ave, Hayward CA 94541, US"
Unknown,1683010800000,22894000,70093000,"2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 3801  - 3801, 4402  - 4402, 4403 - 4403",0,96780000,64980000,31800000,13133,77914,632.8,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1683097200000,23446000,77478000,"2302  - 2302, 2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402",0,132060000,87300000,44760000,77914,123030,752,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1683183600000,25615000,68936000,"2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402",0,79500000,56820000,22680000,123030,78072,440.4,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","22109 Arbor Ave, Hayward CA 94541, US"
Unknown,1683270000000,23454000,77522000,"2302  - 2302, 2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402",0,149820000,104940000,44880000,123101,123244,906.8,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1683356400000,22834000,72487000,"2302  - 2302, 2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4403 - 4403",0,121440000,68460000,52980000,136525,136601,615.8,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1683442800000,38561000,54713000,"2302  - 2302, 3501  - 3501, 4403 - 4403",0,2280000,1020000,1260000,288616,136603,6.2,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1683529200000,27614000,65561000,"3602 - 3602, 4402  - 4402",0,33240000,26160000,7080000,8790,123280,253.8,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","22123 Arbor Ave, Hayward CA 94541, US"
Unknown,1683615600000,23274000,70065000,"2802  - 2802, 3601  - 3601, 4001  - 4001, 4402  - 4402",0,56700000,44700000,12000000,123280,78551,480,"22068 Arbor Ave, Hayward CA 94541, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1683702000000,23703000,70056000,"2302  - 2302, 2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402",0,111840000,79800000,32040000,48460,48628,730.3,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1683788400000,23733000,78982000,"2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402, 4403 - 4403",0,164520000,121140000,43380000,136667,123806,1055.2,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","22133 Arbor Ave, Hayward CA 94541, US"
Unknown,1683874800000,24825000,70398000,"2302  - 2302, 2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402",0,206460000,145560000,60900000,138841,124038,1198.2,"Utah Ave, South San Francisco CA 94080, US","22145 Arbor Ave, Hayward CA 94541, US"
Unknown,1683961200000,24169000,65247000,"2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4402  - 4402",0,88080000,55020000,33060000,137172,124174,544.6,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1684134000000,24812000,55525000,"2302  - 2302, 2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4402  - 4402, 4403 - 4403",0,98820000,75300000,23520000,49081,12275,897.5,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Utah Ave, South San Francisco CA 94080, US"
Unknown,1684220400000,25268000,82621000,"2302  - 2302, 2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402",0,159780000,120660000,39120000,124356,49645,1180,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
