Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Wed 5/3/23,28567000,28642000,310620000,60000,60000,288394,288394,0.2,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 5/5/23,45285000,48423000,189420000,3120000,540000,288394,288426,32.3,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","2162 Bancroft Ave, San Leandro CA 94577, US",,0,0,0
2302  - 2302,Fri 5/5/23,49441000,62143000,1020000,12720000,2460000,288426,288501,75,,"2160 Bancroft Ave, San Leandro CA 94577, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Sat 5/6/23,29019000,33925000,53280000,4920000,1620000,288501,288538,36.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Shoreline Hwy, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Sat 5/6/23,36502000,42625000,2580000,6120000,2880000,288538,288553,14.6,,"Shoreline Hwy, Mill Valley CA 94941, US","2881 Shoreline Hwy, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Sat 5/6/23,44324000,60271000,1680000,15960000,10380000,288553,288576,23.5,,"2881 Shoreline Hwy, Mill Valley CA 94941, US","Shoreline Hwy, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Sat 5/6/23,61206000,66059000,960000,4860000,1200000,288576,288616,39.5,,"Shoreline Hwy, Mill Valley CA 94941, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Sun 5/7/23,38561000,38662000,58920000,120000,120000,288616,288616,0.1,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 5/10/23,27012000,33867000,247560000,6840000,1980000,288616,288655,39,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","80 Bayhill Shopping Ctr, San Bruno CA 94066, US",,0,0,0
2302  - 2302,Wed 5/10/23,35645000,36328000,1800000,660000,240000,288655,288658,2.9,,"80 Bayhill Shopping Ctr, San Bruno CA 94066, US","Utah Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Fri 5/12/23,29967000,33492000,166440000,3540000,780000,288658,288694,36.1,,"155 Utah Ave, South San Francisco CA 94080, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
