Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer
Thu 01/02,1706755200000,1706800560000,67200000,26160000,45420000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38052999,-122240252,67926
Thu 01/02,1706739180000,1706800800000,51180000,26400000,61560000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053055,-122240333,153530
Thu 01/02,1706732040000,1706801820000,44040000,27420000,69840000,"Utah Ave, South San Francisco CA 94080, US",,2802 - 2802,37646612,-122401776,95846
Thu 01/02,1706800800000,1706802060000,26400000,27660000,1260000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053662,-122240849,153530
Thu 01/02,1706728620000,1706802600000,40620000,28200000,73980000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38052978,-122240121,143495
Thu 01/02,1706805600000,1706806380000,31200000,31980000,780000,"Sutro Elementary, 235 12th Avenue, San Francisco 94118-2103, US",947,2802 - 2802,37783669,-122471055,95861
Thu 01/02,1706806980000,1706809020000,32580000,34620000,2100000,"Serra (Junipero) Elementary, 625 Holly Park Circle, San Francisco 94110-5815, US",926,4402  - 4402,37736817,-122421180,143525
Thu 01/02,1706806560000,1706809260000,32160000,34860000,2700000,"Lowell High, 1101 Eucalyptus Drive, San Francisco 94132-1401, US",891,3501  - 3501,37730915,-122485062,153565
Thu 01/02,1706811120000,1706812440000,36720000,38040000,1380000,"Field Rd, Sausalito CA 94965, US",,3501  - 3501,37830779,-122525036,153577
Thu 01/02,1706810760000,1706818980000,36360000,44580000,8220000,"Chinese Education Center, 657 Merchant Street, San Francisco 94111-2505, US",964,4402  - 4402,37795361,-122403437,143531
Thu 01/02,1706678580000,1706819460000,76980000,45060000,140880000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2503  - 2503,38053775,-122241018,19794
Thu 01/02,1706812680000,1706820540000,38280000,46140000,7860000,"Field Rd, Sausalito CA 94965, US",,3501  - 3501,37825450,-122530662,153578
Thu 01/02,1706820660000,1706821140000,46260000,46740000,420000,"Serra (Junipero) Elementary, 625 Holly Park Circle, San Francisco 94110-5815, US",926,4402  - 4402,37736868,-122421188,143537
Thu 01/02,1706808540000,1706822280000,34140000,47880000,13740000,"38 Muir Woods Rd, Mill Valley CA 94941, US",,2802 - 2802,37892033,-122571309,95875
Thu 01/02,1706821980000,1706823180000,47580000,48780000,1200000,"2184 Merced St, San Leandro CA 94577, US",,2503  - 2503,37709266,-122171023,19826
Thu 01/02,1706823300000,1706823840000,48900000,49440000,540000,"1405 150th Ave, San Leandro CA 94578, US",,4402  - 4402,37706178,-122128858,143562
Thu 01/02,1706820840000,1706824560000,46440000,50160000,3720000,"Coastal Trl, Sausalito CA 94965, US",,3501  - 3501,37832462,-122539219,153580
Thu 01/02,1706824920000,1706825460000,50520000,51060000,540000,"Sutro Elementary, 235 12th Avenue, San Francisco 94118-2103, US",947,2802 - 2802,37783507,-122470999,95892
Thu 01/02,1706823540000,1706825820000,49140000,51420000,2280000,"1404 Williams St, San Leandro CA 94577, US",,2503  - 2503,37714245,-122168155,19826
Thu 01/02,1706800620000,1706826240000,26220000,51840000,25620000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38052890,-122240396,67926
Thu 01/02,1706824020000,1706829180000,49620000,54780000,5100000,"2164 Bancroft Ave, San Leandro CA 94577, US",,4402  - 4402,37718008,-122143711,143563
Thu 01/02,1706827080000,1706829360000,52680000,54960000,2280000,"275 Christine Dr, San Pablo CA 94806, US",,3601  - 3601,37995627,-122335243,67935
