Vehicle,StartDate,EndDate,StartTime,EndTime,AddressNo,Location,Driver,Vehicle2,Latitude,Longitude,Duration,Odometer
2802 - LW1474F00330,1576483200000,1576569600000,74640000,26280000,,"Vista del Rio St, Crockett CA 94525, US",,2802 - LW1474F00330,38052998,-122240243,38040000,226906
2802 - LW1474F00330,1576569600000,1576569600000,29760000,32520000,,"10385 E St, Oakland CA 94603, US",,2802 - LW1474F00330,37737140,-122173354,2760000,226936
2802 - LW1474F00330,1576569600000,1576569600000,36960000,48540000,,"50 Muir Woods Rd, Mill Valley CA 94941, US",,2802 - LW1474F00330,37892050,-122571564,11580000,226976
2802 - LW1474F00330,1576569600000,1576569600000,54000000,54420000,,"10329 E St, Oakland CA 94603, US",,2802 - LW1474F00330,37737810,-122173881,420000,227019
2802 - LW1474F00330,1576569600000,1576569600000,55800000,56280000,,"2194 Bancroft Ave, San Leandro CA 94577, US",,2802 - LW1474F00330,37717628,-122143176,480000,227024
2802 - LW1474F00330,1576569600000,1576569600000,59940000,60480000,,"401 Parker Ave, Rodeo CA 94572, US",,2802 - LW1474F00330,38032612,-122266828,540000,227056
3301 - LW1474F00750,1576310400000,1576569600000,55440000,25860000,,"2221 Vista del Rio St, Crockett CA 94525, US",,3301 - LW1474F00750,38053507,-122240637,229620000,28588
3301 - LW1474F00750,1576569600000,1576569600000,29340000,34260000,,"2542 Harrison St, San Francisco CA 94110, US",,3301 - LW1474F00750,37756751,-122412358,4920000,28617
3301 - LW1474F00750,1576569600000,1576569600000,35160000,36540000,,"50 Leavenworth St, San Francisco CA 94102, US",,3301 - LW1474F00750,37781489,-122413779,1380000,28620
3301 - LW1474F00750,1576569600000,1576569600000,36780000,37800000,,"166 Golden Gate Ave, San Francisco CA 94102, US",,3301 - LW1474F00750,37782037,-122413374,1020000,28620
3301 - LW1474F00750,1576569600000,1576569600000,38400000,47580000,,"155 Fulton St, San Francisco CA 94102, US",,3301 - LW1474F00750,37779586,-122416041,9180000,28621
3301 - LW1474F00750,1576569600000,1576569600000,50340000,52800000,,"2832 Alemany Blvd, San Francisco CA 94112, US",,3301 - LW1474F00750,37712872,-122451093,2460000,28630
3301 - LW1474F00750,1576569600000,1576569600000,54660000,55320000,,"1041 Gilman Ave, San Francisco CA 94124, US",,3301 - LW1474F00750,37718663,-122388935,660000,28636
4001 - LW1474F00356,1576483200000,1576569600000,61140000,29220000,,"Utah Ave, South San Francisco CA 94080, US",,4001 - LW1474F00356,37646576,-122401710,54480000,217852
4001 - LW1474F00356,1576569600000,1576569600000,32400000,33720000,,"669 Washington St, San Francisco CA 94111, US",,4001 - LW1474F00356,37795215,-122404522,1320000,217863
4001 - LW1474F00356,1576569600000,1576569600000,36360000,42840000,,"180 Sheridan Ave, San Francisco CA 94129, US",,4001 - LW1474F00356,37799280,-122458841,6480000,217871
4001 - LW1474F00356,1576569600000,1576569600000,43320000,47460000,,"1244 Appleton St, San Francisco CA 94129, US",,4001 - LW1474F00356,37801359,-122471997,4140000,217872
4001 - LW1474F00356,1576569600000,1576569600000,49200000,49620000,,"314 Montgomery St, San Francisco CA 94104, US",,4001 - LW1474F00356,37792052,-122402608,420000,217878
4001 - LW1474F00356,1576569600000,1576569600000,51000000,51360000,,"368 Harkness Ave, San Francisco CA 94134, US",,4001 - LW1474F00356,37717762,-122404257,360000,217886
4001 - LW1474F00356,1576569600000,1576569600000,52560000,54780000,,"940 Dolores St, San Francisco CA 94110, US",,4001 - LW1474F00356,37754280,-122425495,2220000,217892
4001 - LW1474F00356,1576569600000,1576569600000,55920000,58020000,,"2457 Bryant St, San Francisco CA 94110, US",,4001 - LW1474F00356,37755250,-122409343,2100000,217895
4402 - MJ3526F00466,1576483200000,1576569600000,80340000,46740000,,"Vista del Rio St, Crockett CA 94525, US",,4402 - MJ3526F00466,38053092,-122240137,52800000,62182
4402 - MJ3526F00466,1576569600000,1576569600000,47100000,47640000,,"395 Parker Ave, Rodeo CA 94572, US",,4402 - MJ3526F00466,38033059,-122267082,540000,62184
4402 - MJ3526F00466,1576569600000,1576569600000,50220000,50880000,,"2182 Bancroft Ave, San Leandro CA 94577, US",,4402 - MJ3526F00466,37717794,-122143375,660000,62214
4402 - MJ3526F00466,1576569600000,1576569600000,55860000,76020000,,"Neroly Rd, Oakley CA 94561, US",,4402 - MJ3526F00466,37969526,-121719102,20160000,62264

