Vehicle,Day,Start time,End time,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative),Business mileage,Duration2,Driving time
2802 - LW1474F00330,Tue 12/17/19,25860000,29880000,4020000,480000,226906,226936,30.3,,"Vista del Rio St, Crockett CA 94525, US","10385 E St, Oakland CA 94603, US",,0,0,0,,4020000,3540000
2802 - LW1474F00330,Tue 12/17/19,32460000,37200000,4740000,600000,226936,226976,39.3,,"10383 E St, Oakland CA 94603, US","50 Muir Woods Rd, Mill Valley CA 94941, US",,0,0,0,,4740000,4140000
2802 - LW1474F00330,Tue 12/17/19,48420000,61200000,12780000,2940000,226976,227059,83.1,,"48 Muir Woods Rd, Mill Valley CA 94941, US","Vista del Rio St, Crockett CA 94525, US",,0,0,0,,12780000,9840000
3301 - LW1474F00750,Tue 12/17/19,24600000,29580000,4980000,1500000,28588,28617,29.3,,"2219 Vista del Rio St, Crockett CA 94525, US","2549 Harrison St, San Francisco CA 94110, US",,0,0,0,,4980000,3480000
3301 - LW1474F00750,Tue 12/17/19,34140000,35280000,1140000,360000,28617,28620,2.4,,"2573 Harrison St, San Francisco CA 94110, US","56 Leavenworth St, San Francisco CA 94102, US",,0,0,0,,1140000,780000
3301 - LW1474F00750,Tue 12/17/19,36420000,36900000,480000,360000,28620,28620,0.3,,"61 Leavenworth St, San Francisco CA 94102, US","166 Golden Gate Ave, San Francisco CA 94102, US",,0,0,0,,480000,120000
3301 - LW1474F00750,Tue 12/17/19,37680000,38400000,720000,300000,28620,28621,1,,"164 Golden Gate Ave, San Francisco CA 94102, US","155 Fulton St, San Francisco CA 94102, US",,0,0,0,,720000,420000
3301 - LW1474F00750,Tue 12/17/19,47460000,50340000,2880000,1200000,28621,28630,9.2,,"150 Fulton St, San Francisco CA 94102, US","2832 Alemany Blvd, San Francisco CA 94112, US",,0,0,0,,2880000,1680000
3301 - LW1474F00750,Tue 12/17/19,52740000,60780000,8040000,2760000,28630,28668,38.3,,"2832 Alemany Blvd, San Francisco CA 94112, US","Vista del Rio St, Crockett CA 94525, US",,0,0,0,,8040000,5280000
4001 - LW1474F00356,Tue 12/17/19,28980000,32640000,3660000,1380000,217852,217863,11.7,,"Wattis Way, South San Francisco CA 94080, US","626 Washington St, San Francisco CA 94111, US",,0,0,0,,3660000,2280000
4001 - LW1474F00356,Tue 12/17/19,33660000,36360000,2700000,720000,217863,217871,7.8,,"17 Columbus Ave, San Francisco CA 94111, US","180 Sheridan Ave, San Francisco CA 94129, US",,0,0,0,,2700000,1980000
4001 - LW1474F00356,Tue 12/17/19,42720000,43320000,600000,120000,217871,217872,1,,"178 Sheridan Ave, San Francisco CA 94129, US","1244 Appleton St, San Francisco CA 94129, US",,0,0,0,,600000,480000
4001 - LW1474F00356,Tue 12/17/19,47220000,52860000,5640000,2160000,217872,217892,20,,"1244 Appleton St, San Francisco CA 94129, US","944 Dolores St, San Francisco CA 94110, US",,0,0,0,,5640000,3480000
4001 - LW1474F00356,Tue 12/17/19,54600000,56700000,2100000,1200000,217892,217895,2.8,,"942 Dolores St, San Francisco CA 94110, US","1050 York St, San Francisco CA 94110, US",,0,0,0,,2100000,900000
4001 - LW1474F00356,Tue 12/17/19,57960000,61440000,3480000,960000,217895,217907,12.2,,"1055 York St, San Francisco CA 94110, US","Utah Ave, South San Francisco CA 94080, US",,0,0,0,,3480000,2520000
4402 - MJ3526F00466,Tue 12/17/19,46140000,56040000,9900000,2100000,62182,62263,81.8,,"Vista del Rio St, Crockett CA 94525, US","Neroly Rd, Oakley CA 94561, US",,0,0,0,,9900000,7800000
4402 - MJ3526F00466,Tue 12/17/19,75360000,83220000,7860000,1740000,62263,62345,81.6,,"Neroly Rd, Oakley CA 94561, US","2217 Vista del Rio St, Crockett CA 94525, US",,0,0,0,,7860000,6120000

