ClubID	Club	Address	CrossStreets	Phone	Hours
1	Alternative Herbal Health Services	442 Haight Street	between Fillmore/Webster	415.864.1300	 11am-8pm M-Sat 12pm-5pm Sun
2	Alternative Patient Caregivers	953 Mission Street, #40	between 5 th/6th St	415.618.0680	12pm-6pm M-F 11am-5pm Sat Closed Sun 
3	Alternative Relief Co-Op	1944 Ocean Avenue 	btwn Fairfield/Keystone	415.239.4766	12pm-7pm M-Sat 
4	Bernal Heights Dispensary	33 29 th Street	at Mission Street	415.642.4702 bhdispensary@yahoo.com	10am-9pm M-Sat 12pm-7pm Sun 
5	CannaMed Care Center (CMC)	1211 Sutter Street 	at Polk St, lower level	415.885.8007 info@cannamedcare.com www.cannamedcare.com	2pm-9pm M-Sat 2pm-8pm Sun 
6	Compassion and Care Center #1 (Tenth Street)	122 10 th Street	btwn Mission/Howard	415.626.4781	11am-7pm M-W 10am-8pm Thu-Sat 11am-6pm Sun 
7	Compassion and Care Center #2 (Church Street)	194 Church Street	nr Market & 14 th St	415.865.9714	11am-7pm M-F 11am-5pm Sat, Sun 
8	Chronic Candy Confectionery edibles, candy, sweets, etc.		415.559.9393	Contact: Max Leung, Distributor 
9	The Dispensary	425 S. Van Ness Avenue 	nr 15 th Street	415.368.1645	10am-7pm M-Sat 11pm-6pm Sun 
11	The Divinity Tree	958 Geary Street	btwn Larkin & Polk	415.292.6052 divinitytree@sbcglobal.net	11am-7pm W-M Closed Sun 
12	Emmalyn's California Cannabis Clinic	1597 Howard Street, Ste A	at 12 th Street	415.345.8248 800.588.4218	10am-9pm Sun-Sat 
13	Golden Triangle	1334 Haight Street	btwn Masonic/Central	415.291.8654	medical420@comcast.net	9am-9pm Sun-Sat 
14	Good Fellows Smoke Shop	473 Haight Street	nr Fillmore Street	415.255.1323	10am-10pm Sun-W 10am-11pm Thu-Sat 
15	Grass Roots	1077 Post Street 	nr Polk Street	415.346.4338 www.grassrootssf.com	10am-8pm Sun-Sat 
16	The Green Cross	3420 22 nd Street 	nr Guerrero Street	415.648.4420 staff@thegreencross.org www.thegreencross.org	10am-8pm Sun-Sat
17	The Green Door	843 Howard Street	btwn 4 th & 5th Street	415.541.9590 415.541.9525/FAX www.greendoorinfo.com	11:30am-8pm Sun-Th 10am-9pm F-Sat 
18	420 Green Room	1054 Market Street	nr 6th Street	415.724.3476	11am-3pm W-Sat 
20	Happy Days Herbal Relief	607 Divisadero Street	at Hayes Street	415.359.9927	(Happy Hr 8pm-9pm) 12pm-10pm M-Thu 12pm-12am F-Sat 10am-9pm Sun 
21	Health and Wellness Center	935 Howard Street	btwn 5 th & 6th Street	415.512-7800	11am-7pm M-Sat 
22	Herbal Relief Center	1545 Ocean Avenue	btwn Capital/Miramar	415.587.2599	11am-7pm M-F 1pm-6pm Sat, Sun 
23	Hope Net Co-Op	223 9 th Street at Tehama	btwn Folsom/Howard	415.863.4399	12pm-7pm M-F 12pm-5pm Sat 
